DataName,Device,Cycle,Vth,Rth,Ith,Pth,Vho,Rho,Device,Cycle,Vth,Rth,Ith,Pth,Vho,Rho,Device,Cycle,Vth,Rth,Ith,Pth,Vho,Rho,Device,Cycle,Vth,Rth,Ith,Pth,Vho,Rho,Device,Cycle,Vth,Rth,Ith,Pth,Vho,Rho
Units,,,V,\g(W),I,WV,\g(W),,,V,\g(W),I,WV,\g(W),,,V,\g(W),I,WV,\g(W),,,V,\g(W),I,WV,\g(W),,,V,\g(W),I,WV,\g(W)
Size,50nm,50nm,50nm,50nm,50nm,50nm,50nm,50nm,80nm,80nm,80nm,80nm,80nm,80nm,80nm,80nm,120nm,120nm,120nm,120nm,120nm,120nm,120nm,120nm,170nm,170nm,170nm,170nm,170nm,170nm,170nm,170nm,220nm,220nm,220nm,220nm,220nm,220nm,220nm,220nm
DataValue,1.0,10.0,2.82,98591.54929577465,2.84e-05,8.0088e-05,0.14,646725.9498787388,1.0,10.0,2.54,63524.073607259896,3.967e-05,0.0001007618,1.22,361726.9544924154,1.0,10.0,2.34,32554.549919315228,7.1265e-05,0.0001667601,0.1,296772.59799678496,1.0,10.0,1.5,17353.579175704992,8.5285e-05,0.0001279275,0.62,46698.28529733674,1.0,10.0,0.9,2369.732058704726,0.00037135,0.000334215,3.14,3159.8420078996055
DataValue,1.0,11.0,2.82,103016.92420897719,2.718e-05,7.66476e-05,1.3,438101.5599070694,1.0,11.0,2.58,73352.43553008596,3.49e-05,9.0042e-05,0.02,673060.7437321219,1.0,11.0,2.34,33431.803444052166,6.9395e-05,0.00016238429999999998,1.1400000000000001,168213.45707656612,1.0,11.0,1.5,17498.22653109482,8.458e-05,0.00012687,0.74,43132.80363223609,1.0,11.0,0.9,2517.5225289658133,0.00034955,0.00031459500000000003,0.22,11816.838995568685
DataValue,1.0,12.0,2.86,87170.04297114794,3.258e-05,9.317880000000001e-05,0.42000000000000004,605102.1109812281,1.0,12.0,2.66,67944.92343327757,3.8855e-05,0.00010335430000000001,0.8200000000000001,523527.57868494856,1.0,12.0,2.3,41170.09750812567,5.538e-05,0.000127374,0.1,292575.88687065704,1.0,12.0,1.5,17600.19027232727,8.409e-05,0.000126135,1.94,1960.5881764529356,1.0,12.0,0.9,2538.9497980380843,0.0003466,0.00031194,0.42000000000000004,10484.927916120576
DataValue,1.0,13.0,2.86,89336.26926706512,3.179e-05,9.091939999999999e-05,0.22,633579.7254487857,1.0,13.0,2.7,74996.50202882328,3.5735e-05,9.648450000000001e-05,0.5,642888.0509365149,1.0,13.0,2.34,32837.93347487615,7.065e-05,0.00016532099999999998,0.45999999999999996,257303.67193781826,1.0,13.0,1.46,19951.506754416347,7.2175e-05,0.00010537550000000001,0.26,56582.802869556435,1.0,13.0,0.9,2481.31961088397,0.00035465,0.000319185,0.5,9763.42470897484
DataValue,1.0,14.0,2.9,82098.06157354618,3.508e-05,0.00010173200000000001,2.26,247288.50325379608,1.0,14.0,2.74,84960.1749180072,3.2015e-05,8.77211e-05,1.1400000000000001,490797.5460122699,1.0,14.0,2.34,36151.14920140241,6.4175e-05,0.0001501695,0.26,283731.0634848255,1.0,14.0,1.5,18469.986272307502,8.013e-05,0.000120195,0.1,59865.30306809678,1.0,14.0,0.9,2571.2198685171657,0.00034225,0.000308025,1.54,1560.0
DataValue,1.0,15.0,2.9,86694.76219145094,3.322e-05,9.633799999999998e-05,0.26,655354.0081919251,1.0,15.0,2.86,87451.88606620477,3.2475e-05,9.287850000000001e-05,1.7,381374.7228381375,1.0,15.0,2.34,34733.13870798712,6.6795e-05,0.0001563003,0.86,204556.02045560206,1.0,15.0,1.5,18556.830292771614,7.9755e-05,0.0001196325,0.22,58006.04229607251,1.0,15.0,0.9,2578.3767946088487,0.0003413,0.00030717,0.14,12204.424103737605
DataValue,1.0,16.0,2.86,98184.96110630942,2.8925e-05,8.272549999999999e-05,0.98,520020.8008320333,1.0,16.0,2.9,90851.73501577288,3.17e-05,9.193e-05,1.94,335329.3413173653,1.0,16.0,2.34,37096.25839462744,6.254e-05,0.00014634359999999997,0.94,195718.65443425078,1.0,16.0,1.5,18973.142747259793,7.8005e-05,0.0001170075,0.14,59734.9262647004,1.0,16.0,0.9,2431.61094224924,0.0003619,0.00032571,0.06,12447.487163528864
DataValue,1.0,17.0,2.86,109335.8999037536,2.5975e-05,7.42885e-05,1.66,385719.2056021122,1.0,17.0,2.9,93994.77806788513,3.064e-05,8.885599999999999e-05,2.7,148715.14488791692,1.0,17.0,2.34,35980.148883374684,6.448e-05,0.0001508832,1.02,185647.98286326314,1.0,17.0,1.5,18805.59085133418,7.87e-05,0.00011805,2.38,2401.0804862187983,1.0,17.0,0.9,2463.9507209855806,0.00035715,0.000321435,0.18,12012.012012012012
DataValue,1.0,18.0,2.86,95366.01746138348,2.978e-05,8.51708e-05,2.1,283157.4729531188,1.0,18.0,2.9,98935.07385778082,2.911e-05,8.4419e-05,0.74,729856.9096321905,1.0,18.0,2.34,37449.55609362388,6.195e-05,0.000144963,0.1,300827.27500626724,1.0,18.0,1.5,18742.480845944407,7.8965e-05,0.0001184475,0.74,43867.243867243866,1.0,18.0,0.9,2512.8498001142207,0.0003502,0.00031518000000000003,0.22,11816.838995568685
DataValue,1.0,19.0,2.78,91709.58631001828,3.0095e-05,8.36641e-05,2.06,250285.7830455448,1.0,19.0,2.9,99396.03106125971,2.8975e-05,8.40275e-05,0.02,906412.8710627691,1.0,19.0,2.34,38236.505974454056,6.0675e-05,0.00014197949999999998,0.5,255905.5118110236,1.0,19.0,1.5,19379.33743616603,7.637e-05,0.000114555,0.62,48192.77108433735,1.0,19.0,0.9,2635.9143327841844,0.00033385,0.00030046500000000003,1.46,1480.0
DataValue,1.0,20.0,2.82,88202.86659316426,3.1745e-05,8.95209e-05,0.38,602999.9246250095,1.0,20.0,2.9,90837.40734899857,3.1705e-05,9.194450000000001e-05,0.42000000000000004,823970.0374531836,1.0,20.0,2.34,39073.68421052631,5.9375e-05,0.00013893749999999998,1.54,125250.90325170614,1.0,20.0,1.5,19073.393904246404,7.7595e-05,0.0001163925,2.66,2680.2680268026807,1.0,20.0,0.9,2662.229617304493,0.00033055,0.000297495,2.82,2839.71602839716
DataValue,1.0,21.0,2.86,89139.98744507218,3.186e-05,9.111960000000001e-05,0.94,517380.75990299106,1.0,21.0,2.9,94302.5540275049,3.054e-05,8.8566e-05,2.06,308788.59857482184,1.0,21.0,2.38,42286.32861494355,5.581e-05,0.0001328278,1.5,133053.2212885154,1.0,21.0,1.5,19105.402439811525,7.7465e-05,0.00011619750000000001,0.86,40339.21613568645,1.0,21.0,0.9,2661.0220743876625,0.0003307,0.00029763,0.62,8372.032179998692
