DataName,Vho,Vho,Vho,Vho,Vho,Vho,Vho,Vho,Vho,Vho
Units,V,V,V,V,V,V,V,V,V,V
Size,50nm,50nm,50nm,50nm,50nm,50nm,50nm,50nm,50nm,50nm
Device,1,2,3,4,5,6,7,8,9,10
DataValue,0.5,0.14,0.02,0.26,0.94,2.7,0.5,0.86,1.5,2.1
DataValue,0.74,1.06,0.8200000000000001,0.74,0.33999999999999997,0.5,0.30000000000000004,0.06,0.02,1.82
DataValue,2.7,1.62,1.34,0.66,0.62,0.9,0.66,0.74,0.02,1.54
DataValue,0.74,0.1,0.86,2.14,0.02,1.42,0.26,0.9,0.18,2.3
DataValue,0.02,0.42000000000000004,0.26,0.78,0.14,1.8599999999999999,0.22,1.82,1.1,0.9
DataValue,0.45999999999999996,0.5800000000000001,0.94,0.18,1.1400000000000001,0.22,0.1,0.45999999999999996,0.22,0.86
DataValue,0.78,1.22,0.7,0.98,0.5,2.54,0.33999999999999997,1.8599999999999999,0.22,1.42
DataValue,2.5,0.54,1.22,0.94,1.26,0.94,1.54,0.5800000000000001,0.14,0.30000000000000004
DataValue,2.42,0.26,0.30000000000000004,1.98,0.18,0.66,0.30000000000000004,1.9,0.8200000000000001,0.06
DataValue,0.14,1.18,1.46,0.54,1.06,1.46,1.7,0.8200000000000001,2.06,1.1
DataValue,1.3,2.7,0.5,0.8200000000000001,1.82,1.1,2.34,0.98,0.66,0.7
DataValue,0.42000000000000004,1.3,1.3,1.9,0.18,0.38,2.46,1.74,0.02,0.5800000000000001
DataValue,0.22,1.02,0.86,0.94,1.9,1.22,0.14,1.58,1.82,0.45999999999999996
DataValue,2.26,1.06,0.54,0.86,1.74,0.33999999999999997,0.7,0.02,0.06,0.54
DataValue,0.26,0.5800000000000001,0.98,0.02,1.82,1.42,0.9,0.5,0.26,2.22
DataValue,0.98,1.1,1.46,0.74,0.45999999999999996,1.1,2.62,0.30000000000000004,2.7,0.86
DataValue,1.66,0.62,2.22,2.22,0.26,0.22,1.62,0.78,2.78,1.1400000000000001
DataValue,2.1,0.22,0.9,0.18,1.9,1.1,0.62,1.7,1.5,2.54
DataValue,2.06,1.34,0.5800000000000001,1.38,1.22,0.78,0.30000000000000004,2.38,2.82,2.02
DataValue,0.38,1.78,0.42000000000000004,0.42000000000000004,0.66,0.94,1.38,0.06,0.33999999999999997,2.14
DataValue,0.94,2.06,1.3,0.78,2.42,0.7,2.74,2.02,1.54,2.9
DataValue,2.74,3.3,0.9,0.38,0.98,1.1,3.06,0.02,0.02,1.22
DataValue,0.5,2.02,0.30000000000000004,0.74,2.82,0.5800000000000001,0.45999999999999996,0.22,0.30000000000000004,2.74
DataValue,1.26,1.8599999999999999,0.30000000000000004,0.94,0.9,2.98,1.74,2.06,1.66,2.86
DataValue,1.8599999999999999,0.38,0.78,2.46,0.26,1.9,0.33999999999999997,0.98,0.38,2.54
DataValue,1.62,2.26,1.1400000000000001,2.34,0.42000000000000004,1.7,0.1,1.3,1.94,0.42000000000000004
DataValue,2.14,0.42000000000000004,1.1,0.74,1.06,3.18,0.5,0.18,0.7,1.06
DataValue,1.34,3.22,0.14,0.5,1.1400000000000001,2.26,0.66,0.66,2.14,2.26
DataValue,1.26,1.46,0.38,0.42000000000000004,2.3,0.86,0.06,0.86,1.5,0.42000000000000004
DataValue,0.30000000000000004,2.22,1.34,0.7,1.82,1.5,1.18,1.46,2.14,1.26
DataValue,1.18,1.82,2.66,0.66,1.22,1.06,1.26,1.9,0.45999999999999996,2.26
DataValue,0.78,3.18,1.3,0.62,0.18,2.1,2.22,1.54,0.1,1.22
DataValue,1.34,0.66,2.62,1.22,0.5800000000000001,2.18,0.18,0.7,0.14,1.26
DataValue,2.38,1.94,2.34,1.58,0.42000000000000004,0.30000000000000004,0.26,1.9,2.02,0.94
DataValue,2.5,1.82,1.62,2.22,2.58,2.38,0.38,2.3,2.66,1.54
DataValue,2.34,1.5,0.86,2.06,1.9,1.9,0.30000000000000004,1.7,2.54,2.66
DataValue,2.9,2.1,1.78,0.33999999999999997,2.06,1.9,0.1,0.26,1.02,1.22
DataValue,0.33999999999999997,0.62,2.94,0.78,0.42000000000000004,0.78,0.45999999999999996,2.06,1.5,1.66
DataValue,0.98,2.62,0.42000000000000004,1.46,1.42,1.02,2.38,2.14,0.06,0.14
DataValue,0.5800000000000001,1.66,0.62,0.98,0.26,1.18,1.02,2.1,2.78,1.46
DataValue,1.3,2.42,1.3,0.33999999999999997,1.46,1.62,2.34,1.3,2.66,2.62
DataValue,0.30000000000000004,1.8599999999999999,1.94,1.38,1.7,2.66,0.45999999999999996,1.3,0.98,2.58
DataValue,0.26,3.18,0.94,0.02,1.7,1.82,2.02,0.9,0.30000000000000004,0.06
DataValue,0.45999999999999996,2.66,2.02,0.42000000000000004,2.06,2.5,1.5,0.26,2.18,2.46
DataValue,0.42000000000000004,1.94,0.78,0.22,0.14,1.38,1.98,1.42,2.26,2.46
DataValue,0.74,1.82,0.33999999999999997,2.26,1.34,0.18,1.1400000000000001,1.74,2.18,1.8599999999999999
DataValue,1.06,1.66,0.86,2.02,1.1,0.74,2.06,1.66,0.45999999999999996,0.98
