DataName,Vho,Vho,Vho,Vho,Vho,Vho,Vho,Vho,Vho,Vho
Units,V,V,V,V,V,V,V,V,V,V
Size,220nm,220nm,220nm,220nm,220nm,220nm,220nm,220nm,220nm,220nm
Device,1,2,3,4,5,6,7,8,9,10
DataValue,0.1,0.02,0.06,2.58,0.18,0.14,0.02,0.22,0.14,0.14
DataValue,1.3,0.30000000000000004,0.33999999999999997,2.42,0.06,0.14,0.06,0.18,0.14,0.22
DataValue,0.06,0.06,0.1,0.5,0.06,0.02,0.18,1.94,0.14,0.33999999999999997
DataValue,0.86,0.06,0.38,0.45999999999999996,0.18,0.18,0.06,0.22,0.06,2.98
DataValue,2.5,0.18,1.26,1.02,1.82,0.06,0.1,0.02,1.58,2.82
DataValue,0.7,0.18,0.5800000000000001,0.94,0.06,0.18,0.54,0.02,0.06,0.33999999999999997
DataValue,0.9,1.74,0.26,0.98,1.58,0.62,0.02,0.30000000000000004,0.26,0.1
DataValue,1.54,1.74,2.46,1.1,0.1,0.02,0.02,0.22,0.22,0.06
DataValue,2.74,0.22,0.14,2.34,1.18,0.02,0.06,0.18,0.26,0.1
DataValue,3.14,0.06,0.26,1.5,0.18,0.14,2.54,0.18,0.02,3.3
DataValue,0.22,0.06,1.8599999999999999,2.5,0.1,0.1,0.14,0.54,0.06,0.7
DataValue,0.42000000000000004,0.06,0.1,2.78,0.42000000000000004,0.18,1.42,0.18,0.06,1.26
DataValue,0.5,1.22,0.1,0.06,0.14,0.02,0.02,0.14,0.06,0.45999999999999996
DataValue,1.54,0.30000000000000004,0.14,3.14,1.74,0.18,0.06,0.7,1.34,1.54
DataValue,0.14,0.06,0.18,2.74,0.14,0.42000000000000004,0.02,0.06,0.7,3.1
DataValue,0.06,0.18,0.06,1.1,0.26,1.94,0.02,0.14,1.58,1.06
DataValue,0.18,0.06,0.06,0.18,2.3,0.26,0.1,0.02,0.8200000000000001,1.94
DataValue,0.22,0.02,0.8200000000000001,0.66,0.18,0.06,0.06,1.06,0.5800000000000001,2.66
DataValue,1.46,1.34,1.18,2.7,0.06,0.02,1.3,0.06,0.1,1.06
DataValue,2.82,0.02,0.98,0.42000000000000004,0.1,0.1,0.14,0.14,1.18,1.8599999999999999
DataValue,0.62,2.02,2.78,0.14,0.02,0.1,2.74,3.34,1.8599999999999999,0.45999999999999996
DataValue,0.74,0.22,0.18,0.22,0.06,0.02,0.1,0.42000000000000004,0.14,0.02
DataValue,1.54,0.02,0.06,0.98,0.02,0.14,2.78,0.14,0.06,0.06
DataValue,0.33999999999999997,0.5,0.18,0.22,0.8200000000000001,0.1,0.02,0.62,0.02,0.98
DataValue,2.34,0.14,0.74,2.34,0.06,0.02,1.42,0.18,0.06,0.06
DataValue,2.82,0.06,2.82,2.54,0.06,0.06,0.02,1.7,0.1,1.78
DataValue,0.62,0.14,0.14,0.18,2.18,0.18,0.5,2.5,0.06,0.1
DataValue,0.78,0.18,0.18,0.45999999999999996,0.06,0.1,1.38,0.06,0.02,0.38
DataValue,1.34,0.5,0.06,1.82,0.06,0.14,2.7,0.74,0.22,0.7
DataValue,0.98,2.22,2.02,1.9,2.5,0.02,0.1,0.02,0.06,2.26
DataValue,0.26,0.26,0.06,0.45999999999999996,0.02,0.18,0.94,0.02,1.82,2.42
DataValue,0.78,0.7,0.06,3.18,0.26,0.22,0.02,0.02,0.14,1.3
DataValue,0.7,2.02,0.1,0.14,0.06,0.26,0.42000000000000004,0.06,0.06,0.30000000000000004
DataValue,0.06,0.14,3.22,0.1,2.62,0.18,0.66,0.06,0.45999999999999996,0.06
DataValue,0.33999999999999997,1.74,0.14,0.06,0.38,0.06,0.66,0.1,1.94,1.66
DataValue,0.86,0.30000000000000004,1.74,3.06,0.14,0.42000000000000004,0.06,2.86,0.22,0.02
DataValue,2.18,0.42000000000000004,0.38,0.14,0.1,2.66,2.38,0.1,0.22,0.22
