DataName,Rho,Rho,Rho,Rho,Rho,Rho,Rho,Rho,Rho,Rho
Units,\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W)
Size,80nm,80nm,80nm,80nm,80nm,80nm,80nm,80nm,80nm,80nm
Device,1,2,3,4,5,6,7,8,9,10
DataValue,422832.9809725158,340925.78986039676,672551.4922236233,408435.0721420644,517966.9796050502,613900.4604253453,343495.06225848006,462792.5322114121,241006.5567960305,321533.46730561135
DataValue,323291.69728141074,228001.4250089063,590987.4415168677,274501.39395239117,268552.93130320107,462260.7439508848,483237.6925400181,525781.2033219812,341515.47491995734,303461.356092935
DataValue,467328.71568054747,291575.54930750804,339207.6321717239,604914.933837429,423597.9349600671,530292.9868752486,2519.4961007798443,523871.889510656,393013.1004366812,266016.4043449346
DataValue,506435.95695294364,447579.66431525175,505928.85375494073,348106.3658340049,189103.48803689823,583161.2197788847,498649.49096197804,554304.5210462498,225054.94505494504,319651.28950236103
DataValue,319520.71892161755,662190.7477237193,444551.8241121044,160066.69445602334,204054.9378678875,645855.7588805166,282800.815771584,381268.13095731457,267730.72467499034,432619.51113995246
DataValue,362438.2207578254,402515.72327044024,376842.425163349,154330.7086614173,321334.77522014524,529071.3695232846,343642.61168384884,274000.2014707364,401289.860265138,341463.4146341463
DataValue,398704.21131323196,521512.3859191656,545677.7772725206,258831.7593564183,265861.02719033236,319393.6933279199,259740.2597402597,237425.8044361137,308596.6201322557,425406.2038404726
DataValue,556392.720528573,871839.5815170009,651289.0094979648,361869.65990953264,528707.1458075176,616661.7254669433,446952.34370635235,379003.221527383,410677.6180698153,391198.04400977993
DataValue,425101.2145748988,774175.7102370914,2711.729225861124,343295.0191570881,502017.0327207531,690607.7348066298,290746.4355605256,601439.1579851789,391293.7148447053,414342.62948207173
DataValue,361726.9544924154,964630.2250803858,802890.4054596548,574300.071787509,333826.8946022345,477429.2272379495,490256.1588429955,540449.2484377639,244573.52491592782,388035.5699272433
DataValue,673060.7437321219,1016949.1525423728,249490.83503054988,331649.1773545796,641282.5651302605,449561.4035087719,506681.86712268036,559675.3882748006,389863.5477582846,473877.502665561
DataValue,523527.57868494856,140750.32341526521,211489.57803762075,398671.096345515,358905.3387169134,358466.17837139167,256794.35052428846,584036.3400389357,367574.6636035445,367412.1405750799
DataValue,642888.0509365149,799930.4408312321,137663.0585623092,403889.3044128646,645161.2903225806,728929.3849658314,422592.4420967087,592983.0340965245,353006.0672917816,483884.90451913944
DataValue,490797.5460122699,683176.7719897523,551407.2372199885,553154.7104580812,642312.3243677239,551263.3117561077,90572.61049423035,591618.7345932621,432994.15457891324,500894.4543828266
DataValue,381374.7228381375,470984.0201850294,2364.5320197044334,665926.7480577137,424808.8360237893,221105.52763819098,166674.93427253334,351339.48177426436,174190.12214551246,440165.06189821183
DataValue,335329.3413173653,263127.5245239469,695954.7629404088,339222.6148409894,413360.39859752724,457737.32119635894,459875.8335249483,415282.3920265781,289855.0724637681,432562.33103033947
DataValue,148715.14488791692,2917.6658673061547,217425.3906862489,753295.6685499059,512820.5128205128,809880.5426199635,142348.75444839857,506895.26649273204,228314.45126697226,349446.70937682
DataValue,729856.9096321905,354578.49481428956,766609.880749574,582760.0161877782,483505.4142533367,781334.7802495931,395305.74428659666,451977.40112994355,267366.91334447364,252736.7570347513
DataValue,906412.8710627691,2639.8680065996705,261348.94167290546,805315.0795248641,704690.5967848492,628637.9511059372,138142.74750575595,472440.94488188974,329964.9412249949,161441.44144144145
DataValue,823970.0374531836,405131.6677920325,2880.5237315875615,671967.7455482137,569298.5428668248,282895.11207437405,240511.08605787298,619514.7134744449,238694.6386946387,410528.0582684986
DataValue,308788.59857482184,1077360.4668562023,125601.41808052671,598354.5250560958,783545.5435847209,589861.7511520737,198231.9849986606,686990.1245169601,248621.5538847118,340778.26387289894
