DataName,Vth,Vth,Vth,Vth,Vth,Vth,Vth,Vth,Vth,Vth
Units,V,V,V,V,V,V,V,V,V,V
Size,120nm,120nm,120nm,120nm,120nm,120nm,120nm,120nm,120nm,120nm
DataValue,2.46,2.06,1.82,2.3,2.26,2.14,2.34,2.26,2.5,2.18
DataValue,2.46,2.02,1.8599999999999999,2.3,2.26,2.14,2.34,2.26,2.34,2.18
DataValue,2.46,2.1,1.78,2.3,2.26,2.14,2.34,2.3,2.66,2.18
DataValue,2.46,2.1,1.82,2.3,2.26,2.14,2.34,2.3,2.34,2.18
DataValue,2.46,2.1,1.8599999999999999,2.3,2.26,2.14,2.34,2.3,2.38,2.18
DataValue,2.46,2.02,1.82,2.3,2.26,2.14,2.34,2.3,2.1,2.18
DataValue,2.46,2.02,1.8599999999999999,2.3,2.22,2.14,2.34,2.3,2.22,2.22
DataValue,2.46,2.02,1.9,2.3,2.26,2.14,2.34,2.26,2.18,2.22
DataValue,2.46,2.06,1.8599999999999999,2.3,2.26,2.14,2.38,2.26,2.42,2.22
DataValue,2.5,1.98,1.82,2.3,2.26,2.14,2.38,2.3,2.1,2.22
DataValue,2.5,2.02,1.82,2.3,2.26,2.14,2.38,2.3,2.1,2.22
DataValue,2.46,2.02,1.8599999999999999,2.3,2.26,2.14,2.34,2.3,2.1,2.22
DataValue,2.5,2.02,1.82,2.3,2.26,2.14,2.38,2.3,2.1,2.22
DataValue,2.5,2.02,1.9,2.3,2.26,2.14,2.38,2.3,2.14,2.22
DataValue,2.5,2.06,1.8599999999999999,2.3,2.26,2.14,2.38,2.3,2.58,2.22
DataValue,2.5,2.02,1.9,2.3,2.26,2.14,2.38,2.3,2.46,2.22
DataValue,2.5,2.06,1.8599999999999999,2.3,2.26,2.14,2.38,2.3,2.42,2.22
DataValue,2.38,1.98,1.8599999999999999,2.34,2.26,2.14,2.38,2.3,2.98,2.22
DataValue,2.42,2.06,1.82,2.3,2.26,2.14,2.38,2.3,2.86,2.22
DataValue,2.38,2.06,1.9,2.3,2.22,2.14,2.38,2.3,3.42,2.22
DataValue,2.3,2.06,1.8599999999999999,2.34,2.26,2.14,2.38,2.3,2.82,2.22
