DataName,Rth,Rth,Rth,Rth,Rth,Rth,Rth,Rth,Rth,Rth
Units,\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W)
Size,220nm,220nm,220nm,220nm,220nm,220nm,220nm,220nm,220nm,220nm
Device,1,2,3,4,5,6,7,8,9,10
DataValue,2535.1336456324057,3080.082135523614,1213.0401819560273,4318.877091956091,5698.630136986302,8746.583365872708,5432.937181663837,8157.132124074273,3309.9297893681046,676.7749072688229
DataValue,2970.464135021097,3071.017274472169,7619.04761904762,5439.533754249636,6220.839813374805,8096.073404398867,5780.710021991832,8161.073825503356,3245.2366318377385,676.3347857189309
DataValue,2985.5810008481767,3068.268984914344,7619.04761904762,5487.5061244488,6236.357966947303,8060.182697474476,5635.5283307810105,8127.907598524143,3225.806451612903,675.9391654751073
DataValue,2607.021182047104,3068.268984914344,7726.26931567329,4956.205938901944,5693.950177935943,8018.710324089541,5863.607393244105,8136.609389218992,3215.1991231275124,681.4310051107326
DataValue,2597.4025974025976,3072.9833546734953,7963.028794880911,5009.717123731375,5664.488017429195,8155.498165012912,5858.00700413881,8136.609389218992,3216.766175216279,679.6497189909816
DataValue,2560.0,3068.6612965093977,8088.394598107894,4419.075676670963,5709.580016469942,8081.352279614788,5850.556438791733,8168.090708796819,3197.6744186046512,679.2058516196448
DataValue,2538.9497980380843,3070.6243602865916,7366.030323491498,4447.739065974796,5698.630136986302,8047.749983233854,6192.8219563687535,8108.396457911022,3196.512895023611,683.7606837606838
DataValue,2395.2095808383233,3058.103975535168,7575.279338425605,4474.272930648769,5664.488017429195,8091.160407255074,5778.89447236181,8085.536464705569,3192.2611850060457,685.202266438266
DataValue,2408.9789214344373,3070.2315466291416,7479.431563201197,4466.7783361250695,6215.040397762586,8697.67803059719,5806.248027769013,8132.691278758695,3219.5121951219517,689.1981444665341
DataValue,2369.732058704726,3065.525609911866,7488.766849725412,3807.1845256370893,6213.109661385523,8206.250427408877,5808.080808080808,8086.396765441294,3219.904866447128,686.9220607661823
DataValue,2517.5225289658133,3065.1340996168583,7559.531309058839,3830.7074451652766,5678.405678405678,8098.258874342016,5691.308382307455,8099.754875839284,3215.1991231275124,690.6169068331232
DataValue,2538.9497980380843,3065.9172202350533,7631.645891630627,3863.5301448823802,5684.613282317573,8044.512971777166,5694.831321572269,8095.0098524790965,3207.776427703524,692.2257720979766
DataValue,2481.31961088397,3063.569057952515,7532.011046949535,4525.740147086554,5684.613282317573,8187.772925764191,5786.163522012579,8045.307785952469,3206.9970845481052,694.7227788911156
DataValue,2571.2198685171657,3067.484662576687,7645.747053201657,3821.852365541686,6161.429451632779,8150.512803097194,5771.643663739022,8126.169473402834,3192.64723666707,696.211005489356
DataValue,2578.3767946088487,3060.83407728606,7588.212975844189,3850.3337990995187,6205.398696866274,8124.576844955991,5689.548546691404,8062.377340476316,3195.7390146471375,696.5374053981649
DataValue,2431.61094224924,3065.525609911866,7296.607077708864,3878.0297107114934,5689.277899343545,8086.798301772356,5822.784810126583,8095.0098524790965,3184.559710494572,696.0712134395288
DataValue,2463.9507209855806,3062.3963251244095,7499.5312792950435,3864.734299516908,5714.285714285715,8078.632018311565,5716.060888474682,8097.165991902834,3184.9439015562793,700.1952467514981
DataValue,2512.8498001142207,3065.1340996168583,7558.102916168042,3890.1960784313724,6230.529595015576,8743.169398907105,5658.056580565806,8154.068987715252,3176.895306859206,695.0013365410318
DataValue,2635.9143327841844,3061.2244897959185,7514.088916718847,3922.8092375830433,5683.060109289618,8133.938859892904,5724.9533291848165,8153.194228396718,3185.3281853281856,697.4716652136008
DataValue,2662.229617304493,3063.960168517809,7446.940548591288,3907.9735266309485,5708.01317233809,8771.242853786516,5663.281009541398,8145.766345123258,3184.559710494572,700.2895427917312
DataValue,2661.0220743876625,3062.7871362940277,7606.490872210953,3914.7592738752965,6218.905472636816,8717.988635479102,5795.275590551181,7643.79896808714,3186.8662481892807,700.3838642332818
