TestParameter ,Measurement.Type ,Selector-IV-sweep
TestParameter ,MainFrame
TestParameter ,Channel.Type ,SMU ,SMU
DataValue ,  1.920000e+00 ,  5.719000e-06 ,  -5.713500e-06
DataValue ,  1.960000e+00 ,  5.996000e-06 ,  -6.002500e-06
DataValue ,  2.000000e+00 ,  6.340000e-06 ,  -6.349500e-06
DataValue ,  2.040000e+00 ,  6.695000e-06 ,  -6.691500e-06
DataValue ,  2.080000e+00 ,  7.037500e-06 ,  -7.047500e-06
DataValue ,  2.120000e+00 ,  7.456500e-06 ,  -7.493500e-06
DataValue ,  2.160000e+00 ,  7.900000e-06 ,  -7.908500e-06
DataValue ,  2.200000e+00 ,  8.356500e-06 ,  -8.341500e-06
DataValue ,  2.240000e+00 ,  8.853000e-06 ,  -8.857000e-06
DataValue ,  2.280000e+00 ,  9.398500e-06 ,  -9.426000e-06
DataValue ,  2.320000e+00 ,  1.003400e-05 ,  -1.000550e-05
DataValue ,  2.360000e+00 ,  1.032800e-05 ,  -1.034750e-05
DataValue ,  2.400000e+00 ,  1.108450e-05 ,  -1.107650e-05
DataValue ,  2.440000e+00 ,  1.209000e-05 ,  -1.199000e-05
DataValue ,  2.480000e+00 ,  1.337000e-05 ,  -1.332500e-05
DataValue ,  2.520000e+00 ,  1.446000e-05 ,  -1.457000e-05
DataValue ,  2.560000e+00 ,  8.509500e-04 ,  -1.600000e-05
DataValue ,  2.600000e+00 ,  1.076000e-03 ,  -1.500000e-05
DataValue ,  2.640000e+00 ,  9.996500e-04 ,  -1.002000e-03
DataValue ,  2.680000e+00 ,  1.173750e-03 ,  -4.440000e-04
DataValue ,  2.720000e+00 ,  9.428000e-04 ,  -2.485000e-04
DataValue ,  2.760000e+00 ,  9.685500e-04 ,  -7.415000e-04
DataValue ,  2.800000e+00 ,  1.083450e-03 ,  -1.469500e-03
DataValue ,  2.840000e+00 ,  9.423000e-04 ,  -8.085000e-04
DataValue ,  2.880000e+00 ,  9.653000e-04 ,  -2.015000e-03
DataValue ,  2.920000e+00 ,  8.566000e-04 ,  -1.258000e-03
DataValue ,  2.960000e+00 ,  1.122200e-03 ,  -1.000550e-03
DataValue ,  3.000000e+00 ,  9.998500e-04 ,  -1.000850e-03
DataValue ,  3.040000e+00 ,  9.999000e-04 ,  -1.000900e-03
DataValue ,  3.080000e+00 ,  1.000500e-03 ,  -1.000450e-03
DataValue ,  3.120000e+00 ,  1.000350e-03 ,  -9.996500e-04
DataValue ,  3.160000e+00 ,  1.000200e-03 ,  -9.993500e-04
DataValue ,  3.200000e+00 ,  1.000100e-03 ,  -9.993500e-04
DataValue ,  3.240000e+00 ,  1.000100e-03 ,  -9.991500e-04
DataValue ,  3.280000e+00 ,  9.997500e-04 ,  -9.996500e-04
DataValue ,  3.320000e+00 ,  1.000150e-03 ,  -1.000100e-03
DataValue ,  3.360000e+00 ,  1.000000e-03 ,  -9.996000e-04
DataValue ,  3.400000e+00 ,  9.997000e-04 ,  -9.992000e-04
DataValue ,  3.440000e+00 ,  9.999000e-04 ,  -1.001150e-03
DataValue ,  3.480000e+00 ,  1.000050e-03 ,  -9.998000e-04
DataValue ,  3.520000e+00 ,  1.000200e-03 ,  -9.996000e-04
DataValue ,  3.560000e+00 ,  1.000250e-03 ,  -9.998500e-04
DataValue ,  3.600000e+00 ,  1.000300e-03 ,  -1.000450e-03
DataValue ,  3.640000e+00 ,  9.998500e-04 ,  -1.000000e-03
DataValue ,  3.680000e+00 ,  1.000350e-03 ,  -9.996500e-04
DataValue ,  3.720000e+00 ,  9.999500e-04 ,  -1.001000e-03
DataValue ,  3.760000e+00 ,  9.996500e-04 ,  -9.992000e-04
DataValue ,  3.800000e+00 ,  1.000950e-03 ,  -9.998000e-04
DataValue ,  3.840000e+00 ,  1.000600e-03 ,  -9.993500e-04
DataValue ,  3.880000e+00 ,  1.000050e-03 ,  -9.999000e-04
DataValue ,  3.920000e+00 ,  1.000350e-03 ,  -1.000400e-03
DataValue ,  3.960000e+00 ,  1.000200e-03 ,  -9.997000e-04
DataValue ,  4.000000e+00 ,  1.000200e-03 ,  -9.996500e-04
DataValue ,  4.000000e+00 ,  1.000050e-03 ,  -1.000250e-03
