DataName,Vth,Vth,Vth,Vth,Vth,Vth,Vth,Vth,Vth,Vth
Units,V,V,V,V,V,V,V,V,V,V
Size,50nm,50nm,50nm,50nm,50nm,50nm,50nm,50nm,50nm,50nm
Device,1,2,3,4,5,6,7,8,9,10
DataValue,2.42,2.66,2.38,2.38,2.46,2.22,2.62,2.38,2.38,2.22
DataValue,2.78,2.78,2.66,2.94,2.98,2.42,2.86,2.66,2.3,2.22
DataValue,2.74,2.82,2.7,3.02,3.14,2.7,3.06,3.02,2.46,2.22
DataValue,2.78,2.86,2.66,2.98,3.1,2.78,3.06,3.06,2.54,2.26
DataValue,2.78,2.86,2.7,2.94,3.1,2.78,3.14,3.02,2.54,2.26
DataValue,2.78,2.82,2.66,2.98,3.14,2.78,3.18,3.06,2.62,2.3
DataValue,2.78,2.82,2.7,2.98,3.02,2.78,3.14,3.06,2.62,2.3
DataValue,2.78,2.86,2.7,3.02,2.26,2.78,3.22,2.98,2.66,2.3
DataValue,2.82,2.82,2.7,2.94,2.5,2.78,3.26,2.9,2.66,2.34
DataValue,2.82,2.86,2.7,2.98,2.5,2.82,3.02,2.94,2.66,2.3
DataValue,2.82,2.86,2.7,2.98,2.42,2.86,3.1,2.98,2.66,2.34
DataValue,2.86,2.54,2.7,2.98,2.06,2.78,2.62,2.98,2.66,2.34
DataValue,2.86,3.14,2.7,2.94,2.06,2.42,2.98,3.06,2.66,2.34
DataValue,2.9,2.78,2.66,2.9,2.06,2.46,3.02,3.06,2.66,2.34
DataValue,2.9,2.66,2.66,2.9,2.14,2.5,3.02,2.98,2.66,2.34
DataValue,2.86,2.42,2.7,2.74,2.14,2.46,3.06,2.86,2.66,2.34
DataValue,2.86,2.66,2.7,2.06,2.86,2.62,3.06,2.1,2.7,2.34
DataValue,2.86,2.18,2.7,2.1,2.82,2.62,3.06,1.98,2.7,2.38
DataValue,2.78,2.66,2.7,2.06,2.38,2.62,3.1,2.02,2.66,2.34
DataValue,2.82,2.7,2.7,2.78,2.18,3.3,3.06,2.02,2.66,2.34
DataValue,2.86,0.86,2.7,2.82,1.02,2.66,3.06,2.02,2.66,2.38
DataValue,2.82,0.86,2.7,2.86,2.22,2.74,3.02,2.26,2.7,2.34
DataValue,2.82,0.86,2.66,2.74,1.1400000000000001,2.74,3.02,2.46,2.66,2.34
DataValue,2.86,0.94,2.7,2.14,2.02,2.86,2.94,2.14,2.66,2.38
DataValue,2.86,0.94,2.7,2.18,1.42,1.1400000000000001,2.94,2.18,2.66,2.34
DataValue,2.86,0.94,2.7,1.22,2.34,1.1,2.98,2.26,2.66,2.34
DataValue,2.86,0.98,2.7,1.26,2.58,1.06,2.98,2.02,2.66,2.34
DataValue,2.9,0.98,2.7,2.38,2.62,0.98,2.86,2.94,2.66,2.38
DataValue,2.86,0.98,2.66,1.38,0.98,1.1,2.86,2.86,2.66,2.38
DataValue,2.86,1.02,2.66,2.38,1.3,2.74,2.82,2.66,2.66,2.38
DataValue,2.74,0.98,2.7,2.66,2.22,2.74,2.06,2.58,2.66,2.38
DataValue,2.3,0.98,2.7,1.1,2.42,1.98,2.5,2.1,2.66,2.38
DataValue,2.3,0.94,2.7,2.02,2.34,1.98,2.78,2.1,2.66,2.54
DataValue,2.58,0.94,2.74,2.38,2.18,2.18,2.74,2.1,2.62,2.82
DataValue,1.78,0.98,2.7,1.1,1.8599999999999999,1.98,2.22,2.14,2.7,2.86
DataValue,1.34,0.98,2.7,1.1400000000000001,2.1,2.06,2.18,2.14,2.66,2.7
DataValue,1.82,0.94,2.7,2.66,1.9,1.98,2.54,2.34,2.7,2.58
DataValue,2.78,1.02,2.7,2.14,1.98,1.94,2.46,2.14,2.7,2.66
DataValue,2.18,0.98,2.7,1.1400000000000001,1.9,1.98,2.34,2.22,2.7,2.82
DataValue,2.3,0.98,2.7,1.1,2.14,1.98,1.8599999999999999,2.26,2.74,2.82
DataValue,2.42,0.98,2.7,1.18,2.54,1.78,2.22,2.3,2.66,2.66
DataValue,2.46,1.02,2.7,1.06,2.22,1.8599999999999999,2.18,2.18,2.7,2.82
DataValue,2.7,0.98,2.7,2.42,2.3,1.8599999999999999,2.58,2.18,2.7,2.54
DataValue,2.34,0.98,2.7,1.1400000000000001,2.38,1.94,2.18,1.06,2.7,2.58
DataValue,1.1400000000000001,1.02,2.7,2.54,2.14,1.8599999999999999,2.46,2.22,2.74,2.1
DataValue,2.5,0.98,2.66,2.46,1.98,1.74,2.34,2.22,2.78,2.02
DataValue,2.62,1.02,2.66,2.06,1.98,2.54,2.54,2.18,2.7,1.8599999999999999
DataValue,2.34,1.02,2.62,2.26,2.1,2.7,2.3,2.02,2.74,1.82
DataValue,2.62,1.02,2.66,2.34,2.14,0.9,2.54,2.06,2.78,1.82
DataValue,1.98,0.94,2.62,2.26,2.18,0.94,2.5,2.58,2.74,1.9
DataValue,2.38,1.1400000000000001,2.7,2.26,2.06,1.02,2.18,2.18,2.78,1.8599999999999999
DataValue,1.7,1.1,2.66,2.26,1.82,2.62,2.26,2.14,2.74,1.98
DataValue,1.74,1.1400000000000001,2.62,2.42,1.98,2.66,2.66,1.18,2.78,2.06
