DataName,Ith,Ith,Ith,Ith,Ith,Ith,Ith,Ith,Ith,Ith
Units,A,A,A,A,A,A,A,A,A,A
Size,50nm,50nm,50nm,50nm,50nm,50nm,50nm,50nm,50nm,50nm
Device,1,2,3,4,5,6,7,8,9,10
DataValue,3.1035e-05,2.39e-05,2.456e-05,2.3695e-05,2.411e-05,2.686e-05,2.466e-05,2.76e-05,2.718e-05,2.439e-05
DataValue,3.5965e-05,3.1165e-05,2.785e-05,2.711e-05,2.218e-05,2.425e-05,2.8325e-05,2.4755e-05,2.8345e-05,2.6125e-05
DataValue,2.834e-05,2.846e-05,3.143e-05,2.504e-05,2.2945e-05,2.305e-05,2.265e-05,2.864e-05,3.0635e-05,2.563e-05
DataValue,2.983e-05,3.2455e-05,3.005e-05,2.4385e-05,2.408e-05,2.6255e-05,2.7615e-05,3.02e-05,3.2965e-05,2.982e-05
DataValue,2.956e-05,3.1205e-05,3.189e-05,2.354e-05,2.265e-05,2.634e-05,2.855e-05,2.4155e-05,2.7185e-05,2.6115e-05
DataValue,2.874e-05,2.747e-05,2.599e-05,2.7385e-05,2.437e-05,2.6255e-05,2.7125e-05,2.4115e-05,3.326e-05,3.1565e-05
DataValue,2.884e-05,2.7795e-05,3.213e-05,2.4955e-05,2.0615e-05,2.7455e-05,2.4375e-05,3.0635e-05,2.44e-05,2.9955e-05
DataValue,2.8255e-05,3.1095e-05,3.0955e-05,2.2995e-05,3.924e-05,2.753e-05,2.4405e-05,2.5285e-05,3.079e-05,2.8085e-05
DataValue,3.404e-05,2.6085e-05,2.6715e-05,2.458e-05,1.234e-05,2.5035e-05,2.8185e-05,2.468e-05,2.8125e-05,3.309e-05
DataValue,2.84e-05,3.0435e-05,2.774e-05,2.3335e-05,8.563e-06,2.3565e-05,2.2245e-05,2.655e-05,2.543e-05,2.534e-05
DataValue,2.718e-05,3.17e-05,2.6285e-05,2.804e-05,8.06e-06,1.9675e-05,2.7445e-05,2.556e-05,2.633e-05,3.075e-05
DataValue,3.258e-05,1.446e-05,2.819e-05,2.3745e-05,4.4415e-05,2.2235e-05,9.944e-06,2.2535e-05,2.855e-05,3.0055e-05
DataValue,3.179e-05,0.0011045,2.8035e-05,2.389e-05,3.01e-05,2.2695e-05,2.31e-05,2.7615e-05,2.2215e-05,2.865e-05
DataValue,3.508e-05,1.803e-05,2.5955e-05,2.314e-05,1.5465e-05,2.254e-05,2.4495e-05,2.6145e-05,2.259e-05,2.802e-05
DataValue,3.322e-05,2.2015e-05,2.66e-05,2.5195e-05,3.5765e-05,2.4935e-05,2.1485e-05,2.0215e-05,2.358e-05,2.864e-05
DataValue,2.8925e-05,1.4745e-05,3.0735e-05,1.3295e-05,1.56e-05,1.801e-05,2.61e-05,1.4585e-05,2.3425e-05,2.703e-05
DataValue,2.5975e-05,1.3195e-05,2.8325e-05,7.5195e-05,2.1275e-05,2.4765e-05,2.23e-05,2.7665e-05,2.601e-05,2.874e-05
DataValue,2.978e-05,1.05155e-05,2.966e-05,2.677e-05,1.8035e-05,2.7585e-05,2.6675e-05,7.0675e-05,2.7915e-05,3.1645e-05
DataValue,3.0095e-05,1.6835e-05,2.68e-05,2.077e-05,1.3455e-05,2.185e-05,2.4635e-05,7.706e-05,2.197e-05,2.727e-05
DataValue,3.1745e-05,1.6815e-05,2.629e-05,2.343e-05,2.5525e-05,0.0010702,2.425e-05,0.0001002,2.2755e-05,2.72e-05
DataValue,3.186e-05,0.00030465,2.8445e-05,2.1045e-05,3.184e-05,2.1165e-05,2.381e-05,5.1915e-05,2.2345e-05,3.151e-05
DataValue,3.308e-05,0.00019245,3.244e-05,2.36e-05,1.4485e-05,2.2425e-05,2.302e-05,1.922e-05,2.6425e-05,2.546e-05
DataValue,2.7675e-05,0.0001457,2.6625e-05,2.318e-05,1.995e-05,1.575e-05,2.7445e-05,1.2545e-05,2.1615e-05,2.668e-05
DataValue,2.903e-05,0.0001585,2.8215e-05,3.0095e-05,1.3555e-05,2.5745e-05,2.367e-05,3.747e-05,2.2145e-05,3.4565e-05
DataValue,3.1585e-05,0.00021325,3.179e-05,3.1215e-05,8.869e-06,2.1135e-05,2.243e-05,3.509e-05,2.31e-05,2.6025e-05
DataValue,2.8565e-05,0.0001445,2.8195e-05,9.3975e-06,1.0821e-05,2.55e-05,2.3445e-05,2.514e-05,2.417e-05,2.5895e-05
DataValue,2.748e-05,0.0001436,3.249e-05,1.0384e-05,1.9615e-05,3.818e-05,2.893e-05,8.4075e-05,2.3495e-05,2.5845e-05
DataValue,3.2855e-05,0.00017135,3.055e-05,2.401e-05,1.513e-05,8.4645e-06,2.63e-05,2.426e-05,2.3195e-05,2.958e-05
DataValue,2.581e-05,0.00018995,2.611e-05,7.515e-06,9.0505e-06,1.4055e-05,2.3125e-05,2.286e-05,2.2365e-05,2.914e-05
DataValue,2.383e-05,0.0001761,2.742e-05,1.9175e-05,2.8995e-05,1.827e-05,2.095e-05,1.838e-05,2.2555e-05,3.1085e-05
DataValue,1.932e-05,0.00021405,2.958e-05,2.835e-05,2.3125e-05,2.0615e-05,4.112e-05,1.696e-05,2.293e-05,2.8205e-05
DataValue,9.339e-06,0.0002417,2.8e-05,7.5005e-06,1.671e-05,2.6785e-05,1.579e-05,3.3555e-05,2.0995e-05,2.7335e-05
DataValue,3.171e-05,0.00021795,2.9135e-05,2.915e-05,1.637e-05,2.0925e-05,2.6785e-05,4.1155e-05,2.0685e-05,2.5885e-05
DataValue,2.589e-05,0.0002042,3.189e-05,2.036e-05,1.054e-05,1.6025e-05,2.184e-05,3.0125e-05,1.9785e-05,2.992e-05
