DataName,Rho,Rho,Rho,Rho,Rho,Rho,Rho,Rho,Rho,Rho
Units,\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W)
Size,170nm,170nm,170nm,170nm,170nm,170nm,170nm,170nm,170nm,170nm
Device,1,2,3,4,5,6,7,8,9,10
DataValue,49937.57802746567,55512.72166538165,1921.9956039462252,24171.009895007177,57992.02609641174,43752.62936474548,1932.4624106482622,1760.6494840318874,55693.338554583825,1967.9702796325116
DataValue,2479.628055791631,68897.63779527559,72783.98752274501,73260.07326007326,56230.54523546541,56448.4515876127,62202.352026436005,67837.67413688674,1797.7528089887642,2225.0414755538204
DataValue,1599.8400159984,59722.291345244616,74871.31492746841,35816.035816035816,30406.689471683767,61481.709191515525,1870.1087508893181,65659.88181221274,16224.119228411075,2159.244264507423
DataValue,54623.48809988296,2190.891571153261,52134.24568263278,1799.550112471882,18667.48541602702,43725.03678789153,1721.4632437571934,50285.71428571429,1862.7693832053506,28271.48945016111
DataValue,53849.38998737905,1674.6178560996982,45834.32800190976,35937.92540157909,2458.8538568312515,2189.490445859873,30144.645678862285,74567.74013142564,52722.85813388831,55505.150237498
DataValue,1640.0820041002048,24143.000851195542,74309.9787685775,42197.162604583486,46139.057994232615,50574.71264367816,59259.259259259255,31018.056940290237,54442.34404536862,2039.79602039796
DataValue,2560.5121024204846,18686.391190701295,24130.814414986504,42694.14795730585,1877.465421680731,12430.939226519338,1694.2771084337348,47892.242454477426,60612.62041346466,60215.77318725433
DataValue,51104.60473782273,68493.1506849315,80385.85209003216,73588.59376796597,22261.729921929353,60801.82405472164,2319.652052192171,68411.15101761588,2175.848086242706,2479.87600619969
DataValue,46562.38632229902,79149.14667326242,20997.375328083992,2124.2484969939883,51253.889804136925,50955.41401273886,26443.709896947308,72727.27272727272,2119.78802119788,19478.93839785732
DataValue,46698.28529733674,69128.04399057345,35464.03546403546,2196.814618802736,56345.96422031272,44453.94315024578,47086.52148322543,72398.19004524888,41244.987588313925,1879.906004699765
DataValue,43132.80363223609,72536.77211364094,19524.97172450741,60100.166944908175,29839.971122608593,33438.88537048765,2415.29688024153,66950.27547248763,2192.209825797612,2279.7720227977197
DataValue,1960.5881764529356,25134.939176669624,44974.139869574996,2681.877314119884,61033.75929811177,35174.49848859577,2458.6100921978787,1957.259836229279,2111.5401534776875,62430.32329988852
DataValue,56582.802869556435,1851.7606500861855,1887.9056047197641,2521.5129077446472,45949.214026602174,33729.39823687237,57919.358431721994,56886.22754491018,29761.904761904763,56328.873964144506
DataValue,59865.30306809678,34985.42274052478,40360.36036036036,1841.0125569062984,56653.21152892854,2193.2830705962992,58120.04023695094,1980.0019800019797,66031.3648983267,1999.90000499975
DataValue,58006.04229607251,2105.5767989273477,37157.45471435206,32135.683999107343,60150.375939849626,38498.55630413859,1681.4116036951955,2075.2269779507133,1919.90400479976,43705.46318289787
DataValue,59734.9262647004,76649.32931836847,17433.715560628858,69519.8783402129,2240.8963585434176,80301.12923462986,2062.357118536894,66216.73245893291,12299.282541851726,28976.243741344417
DataValue,2401.0804862187983,32265.49896289467,70141.87788936713,77096.04882749758,30605.948414167593,76252.72331154684,70505.28789659224,39018.25047199497,33061.991233562934,56685.01662397123
DataValue,43867.243867243866,2016.6763622261005,80422.21663734606,54506.03902136885,1691.928093056045,39705.63066917679,2076.547231270358,1736.2337858981475,34380.8756379264,25843.503230437902
DataValue,48192.77108433735,1853.997682502897,2239.88800559972,2278.1774580335727,29537.325487481252,61991.47617202635,2181.6813992853113,2245.973501452987,40513.655272201126,15844.572290861077
DataValue,2680.2680268026807,24427.480916030534,1891.8120011823823,76838.63885839737,2449.854539886694,30438.091096858352,23094.32784582976,79106.1010580441,37564.56409453748,1879.7180422936558
DataValue,40339.21613568645,45444.98211655796,17450.919289498284,2130.5442572147977,2142.113353498289,19269.369731031715,2047.1650777722027,74116.96583671107,15640.968673628084,66483.83611734398
DataValue,41884.8167539267,75023.44482650829,2519.8740062996853,73313.78299120234,64620.35541195476,1754.302331124565,2414.765698451185,19687.115486025665,75294.11764705883,66302.00563567047
DataValue,2639.4721055788846,74820.7419723579,70153.0612244898,37714.28571428572,50426.39970337412,30474.531998258597,38516.40513552069,29289.53097169998,20906.367518643634,66600.0666000666
DataValue,2599.220233929821,42174.15015451736,2088.563108745858,2014.5955391098778,62992.125984251965,2029.5653022393524,31330.31452698568,2304.9125891200315,2239.88800559972,37327.11214797534
DataValue,40627.885503231766,83186.02474784236,2119.78802119788,60389.352403655146,58367.04914770843,48168.590065228294,69076.10706796596,34287.15492247573,1847.2195497402347,29322.98404484692
DataValue,2278.291281538846,55647.56541901291,15584.650931001675,1758.2417582417584,1678.6219684770408,35290.87400055143,63427.99481043679,2379.7719385225582,27276.078142277922,44103.54745925216
DataValue,43266.63061114116,65937.68888400462,41949.893183142354,2066.875341580961,33236.39385126714,67383.69832836594,66703.72429127293,68250.42656516604,2079.89600519974,26315.78947368421
DataValue,62324.71174820816,79853.60173016138,22897.40202553941,38305.281485780615,18972.332015810276,2119.78802119788,1968.4469532493852,1892.1095008051527,1919.90400479976,2199.7800219978003
DataValue,1679.7480377943307,19409.806466173897,45341.19247336205,56050.955414012744,1687.3497817236473,22806.642434609083,26186.579378068738,74862.55702421335,39631.02152374445,20307.145576849856
DataValue,25874.74272272861,23006.242547520513,2239.88800559972,83437.63037129745,53046.00082884376,22787.153742077902,1905.6126246836384,77307.13480431632,70498.3844120239,64034.151547491994
DataValue,2561.0244097639056,50739.9577167019,1817.0147632449516,57791.537667698656,32447.991626324743,45011.9021856741,75382.80329799764,31735.537190082643,27136.046938027135,66528.06652806653
DataValue,55944.055944055945,26427.24038624428,43216.28921670476,1735.18682835453,25434.95540051223,80910.2402022756,48568.950563746745,2202.1234762092017,63173.33182920639,2039.79602039796
DataValue,1560.7023160422189,80093.44234940763,2159.8920053997304,1983.3399444664815,2036.7541545155768,38603.82821296445,45873.84692096734,2169.090460931723,1999.8000199980002,43001.119820828666
DataValue,1600.3200640128027,1854.5006165228115,1959.9020048997552,1913.2217287324904,49689.44099378883,72654.61810916357,2174.898051653829,2276.071813989993,36411.68697694905,30960.478480121965
DataValue,2318.956469588685,34782.608695652176,2038.7160009801519,1896.1090262690104,1547.3175224499196,35535.81343697946,31948.084362910275,2153.2250312409883,30594.40559440559,63788.58639936212
DataValue,63266.11308817715,61564.7712697734,50852.35481074834,83138.4775266303,55121.72714745062,1839.8160183981602,1732.2120952716652,37068.239258635214,56759.952700039416,51928.216876670485
DataValue,2559.8720063996802,1998.36867862969,2079.168332666933,2022.8061477441745,53826.74516400337,1913.8755980861242,2056.9620253164558,1827.460510328068,77590.80548954949,67119.72480912828
DataValue,1760.2640396059408,77792.6340099672,50372.06639954207,2084.0501351683465,1942.4497597768247,2112.079701120797,2326.0477240826144,2027.8349036300158,22852.245947297008,66805.84551148226
DataValue,2040.306045906886,46232.87671232877,3072.6807169588337,27610.0086281277,48558.42185128984,35704.32357043236,2056.451612903226,2092.6605966094876,2098.6782363030975,58383.50665936872
DataValue,2200.550137534384,47849.091327352195,59357.54189944134,42626.332072877274,2124.946876328092,50259.49194209233,58463.50598337444,79808.45969672786,74430.14420840441,65988.45202089634
DataValue,45386.682591818455,47849.091327352195,47035.76678098971,42765.99413692016,54514.48040885861,59040.59040590406,1840.584896978373,64770.77218904969,2206.949956441777,27703.57178193331
DataValue,2679.8660066996654,85034.01360544219,1799.9100044997751,42743.881420199934,67170.44500419816,1966.6867348986552,2381.070489607619,81799.59100204498,52044.6096654275,66694.45602334307
DataValue,21859.582542694494,81984.0131174421,1999.90000499975,33024.65692290528,1827.2828886620985,57423.49829996222,27769.513041753446,67961.16504854368,63905.055346342575,2399.7600239976
DataValue,61747.452917567156,25400.857278933163,73394.49541284404,40066.77796327213,62957.42504131581,81695.17487873373,41977.80020181635,50188.20577164366,42436.149312377216,66917.60769552489
DataValue,2561.4087748261545,25192.883010549525,2319.5360927814436,2194.732641660016,61784.736361721545,2064.6185914933744,73606.72975814932,42492.91784702549,1867.8589170392447,41710.11470281543
DataValue,1759.82401759824,44943.82022471911,73853.72858754745,49655.17241379311,28320.01618286639,79430.74631805393,46986.72114402452,74640.79119238665,1927.7108433734938,67357.0767028711
DataValue,25106.147314011447,50050.05005005006,83463.74543557642,85515.766969535,63441.71292624901,1866.7963052989792,2281.026461907858,1748.6763491523777,57120.19040063467,67057.83738474434
DataValue,1639.918004099795,15902.41698667269,43569.33389191454,86890.40947105463,52747.25274725274,44036.69724770643,29568.43135123383,76311.60572337042,1959.706044093386,1718.1100789131954
DataValue,42999.744049142566,50713.153724247226,62988.81948454149,82207.86846741046,71505.18412584913,37388.813508216495,2279.886005699715,36002.647253474526,65314.325189976764,57328.70293809602
DataValue,46256.847230675594,51295.75207053166,1887.9056047197641,18860.01676445935,51983.58413132695,39145.3270265862,21751.254880089236,2192.746316871421,28825.943349014113,49543.67666232074
DataValue,1640.3280656131226,51919.956733369385,2319.652052192171,81177.06747843736,69856.79357317499,84312.58892343364,64588.24990684388,67294.75100942126,55393.586005830904,60739.503454559264
DataValue,29789.78978978979,72327.70011822796,70473.29222391287,2000.6865100769874,36242.826940501356,16377.425208207324,1745.9451416100394,2299.6481141894237,34948.80546075085,64394.95572846793
DataValue,33965.125094768766,2129.8624463836713,2759.586062090686,21540.909369071658,35053.0035335689,39564.78733926805,2091.4516845064863,47724.25983208131,27093.821510297483,67001.67504187605
DataValue,49883.086515978175,74551.52597654733,1788.375558867362,35463.61285555966,69414.31670281995,70812.12657667625,20240.35420619861,42410.31984449549,57393.38381825428,59624.635815434645
DataValue,56998.510266208956,2286.8810617662075,51740.06775485063,2055.031368868251,2228.6339667694756,11337.030191004314,44033.46543372963,47493.4036939314,77549.43776657619,29526.704298740773
DataValue,34450.93817286989,13045.0194966324,2439.512097580484,68958.08641310204,20017.08775784206,75909.33052187665,29922.992299229925,74148.97202561509,31939.87787693753,45977.011494252874
DataValue,59021.23124846299,91033.22712790169,1759.91200439978,23579.40914387552,2054.118111791428,14394.242303078769,71542.13036565977,52834.34232250963,22925.92061899986,54847.113670643084
DataValue,66230.64823246958,77738.51590106008,44933.72275893058,2085.4453294713976,1879.8120187981199,1957.1386632742929,18719.32427805045,22429.906542056073,79654.82907401261,23729.60736866755
DataValue,1781.4666734146465,75805.43272267847,2040.102005100255,2174.6517159361197,46938.77551020409,34828.496042216364,1824.9100217975365,56428.34241744149,52813.58063502043,1719.9140042997851
DataValue,2479.5040991801643,80369.70062286519,2519.370157460635,69414.31670281995,1999.90000499975,14628.199918732222,54208.27389443652,35140.562248995986,54794.520547945205,65008.93872907525
DataValue,2121.4850395276694,90039.39223410242,72130.55630691553,2104.218362282879,1865.9123616693958,33378.32862927967,74796.31361025778,75592.93206085231,17451.2987012987,66889.63210702341
DataValue,2680.2680268026807,93305.34173081409,78753.07629204265,46944.55685957102,65638.33278634724,2161.9496855345915,80661.42367412786,33111.060013796276,1827.118812372772,2999.700029997
DataValue,2119.576084783044,93278.14376493909,78908.43333881308,87304.47435431066,23342.81011521772,2088.3689451803157,18852.741694447635,59679.22417008579,2119.78802119788,66694.45602334307
DataValue,20068.655928175336,2160.7562646926426,75775.51503670377,86463.11807619563,73152.8895391368,41354.72370766488,34622.36493089487,63116.3708086785,75492.04637368563,65681.44499178982
DataValue,2681.608965379228,26154.47486718431,70546.73721340389,2068.292682926829,68208.46211233082,46574.11553963278,2799.7200279972,31566.599125519886,73155.86262954684,37609.13364674278
DataValue,52865.76501167452,2099.9455202813137,34807.01754385965,2122.9373733474863,47240.051347881905,16828.417077018694,52822.71376691978,49760.76555023924,12261.58038147139,64136.825227151254
DataValue,1691.3319238900633,92059.83889528194,83813.51492928235,64352.24386113463,70350.28579803606,2073.7327188940094,44395.11653718091,31834.80318348032,29179.33130699088,2719.8640067996603
DataValue,55650.68493150685,46068.30818109611,57576.969212315074,2108.8918179053026,63162.050134877296,48461.352071722795,2239.88800559972,48203.52599866102,30853.994490358127,58791.10784493845
