DataName,Rho,Rho,Rho,Rho,Rho,Rho,Rho,Rho,Rho,Rho
Units,\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W)
Size,50nm,50nm,50nm,50nm,50nm,50nm,50nm,50nm,50nm,50nm
Device,1,2,3,4,5,6,7,8,9,10
DataValue,528535.8540427912,915593.7052932761,838310.803730483,853788.6872998934,643863.1790744467,2778.7710067936864,1182355.616189177,543209.8765432099,313369.7556952891,118435.75418994413
DataValue,530541.0122164049,474412.4752910169,512507.6266015863,816589.6636939937,1106500.6915629322,604791.8120493138,1253672.8697355534,941564.1734831991,631462.6253058647,181647.66276716522
DataValue,95977.41707833452,359964.881474978,388294.0756602427,809861.2517120229,997273.0814179976,672023.3747260775,1112383.445116964,928414.3659907159,627598.6506629011,247128.71287128713
DataValue,539772.7272727273,602409.6385542168,473500.13451708364,363025.21008403366,1097393.6899862827,526027.3972602739,1167639.6997497915,868662.0715702012,627746.3904582548,2321.7413059794844
DataValue,651412.7514046087,578490.665264265,622637.3137647321,726744.1860465117,1021385.2537503991,388189.13896345237,1238070.6732009284,515261.8314197704,442775.25202609214,422696.99058120843
DataValue,599737.6147935279,552003.3120198721,480600.7509386733,896057.347670251,760655.737704918,985221.6748768473,1289906.4817800708,1049180.3278688523,657714.4423129625,434246.2373550456
DataValue,532623.1691078562,444524.10826312954,533926.5850945495,689417.4422612892,910443.8413726692,181046.67609618104,1224073.4444066642,482856.04212148447,700320.9804493726,293070.11295410607
DataValue,163371.1507293355,564829.2904332039,413264.4559240127,745631.0679611651,345339.2688520167,688172.0430107526,750360.7503607504,974105.0409935871,698842.5420397467,609117.7310364519
DataValue,188854.48916408667,600536.1930294906,609465.7651652225,393313.6676499509,1431127.0125223615,806738.6404081149,1281794.5123172442,429818.67024848895,572987.721691678,655737.7049180327
DataValue,646725.9498787388,470219.43573667714,366790.5824039653,860876.2490392007,946455.1748313032,546629.7322253,553677.7724126831,844942.9160589448,259125.45160084715,382187.3400443611
DataValue,438101.5599070694,133170.1346389229,573983.1116507534,781249.9999999999,405241.7134676798,771084.3373493976,368692.3918137791,802890.4054596548,615050.6512301014,505085.93475973344
DataValue,605102.1109812281,497456.189937818,398430.4255961365,447604.61592260166,668560.9226140733,904875.0141386722,319320.157084916,533899.590474746,710227.2727272728,540832.8826392645
DataValue,633579.7254487857,540540.5405405405,495914.34206818824,754716.9811320754,56296.73068465034,438860.37869403645,1110725.4425546685,610221.2051868803,339828.2389879028,576403.4824377064
DataValue,247288.50325379608,533860.6030647553,545543.1076473454,757640.9814894532,226701.87415469828,785254.6624495583,897419.9177365075,1348163.1277384565,758257.9024690773,555170.0208188759
DataValue,655354.0081919251,597877.5347516318,454029.5119182747,982318.2711198429,167272.7272727273,398726.29101481376,846015.908777415,1153121.1886018405,731548.0078380144,110480.88779284834
DataValue,520020.8008320333,551588.2787490766,363279.33235149726,771965.4647028948,1321040.3192514104,136936.05575253698,261800.87266957556,1132943.883873252,2563.377626990859,463768.115942029
DataValue,385719.2056021122,818518.9921984909,209757.46792770858,2239.6640503924414,1383399.209486166,1052400.789300592,596146.8556888404,714094.4389895564,2800.7001750437607,378466.55791190866
DataValue,283157.4729531188,869407.7159934795,486257.92811839323,978952.5208027412,386279.0463736042,564089.6499622263,1021303.7580786723,53358.15107802078,417066.8130058993,2559.488102379524
DataValue,250285.7830455448,562332.0239818069,560826.2840585129,469168.9008042895,677595.6284153005,724637.6811594204,1201426.6941993618,2400.1200060003,2839.432113577285,163069.5443645084
DataValue,602999.9246250095,368173.45060339535,594112.881447475,933587.9482283047,530007.7942322681,697928.0261723009,672430.3554274736,1006162.7468242989,722673.8934056006,133498.14585908529
