DataName,Device,Cycle,Vth,Rth,Ith,Pth,Vho,Rho,Device,Cycle,Vth,Rth,Ith,Pth,Vho,Rho,Device,Cycle,Vth,Rth,Ith,Pth,Vho,Rho,Device,Cycle,Vth,Rth,Ith,Pth,Vho,Rho,Device,Cycle,Vth,Rth,Ith,Pth,Vho,Rho
Units,,,V,\g(W),I,WV,\g(W),,,V,\g(W),I,WV,\g(W),,,V,\g(W),I,WV,\g(W),,,V,\g(W),I,WV,\g(W),,,V,\g(W),I,WV,\g(W)
Size,50nm,50nm,50nm,50nm,50nm,50nm,50nm,50nm,80nm,80nm,80nm,80nm,80nm,80nm,80nm,80nm,120nm,120nm,120nm,120nm,120nm,120nm,120nm,120nm,170nm,170nm,170nm,170nm,170nm,170nm,170nm,170nm,220nm,220nm,220nm,220nm,220nm,220nm,220nm,220nm
DataValue,1.0,10.0,-0.45999999999999996,571.3172758553528,-0.00077015,0.000354269,-0.5,520.0,1.0,10.0,-1.58,178031.38373751784,-8.7625e-06,1.384475e-05,-1.7,1720.0,1.0,10.0,-0.5800000000000001,20698.576972833118,-2.7055e-05,1.56919e-05,-0.1,142272.80810955004,1.0,10.0,-1.42,25321.034545125698,-5.529e-05,7.85118e-05,-0.22,68385.80994443652,1.0,10.0,-1.1400000000000001,3971.631205673759,-0.000282,0.0003214800000000001,-0.8200000000000001,7121.66172106825
DataValue,1.0,11.0,-0.45999999999999996,567.6686879112373,-0.0007751,0.000356546,-1.54,1560.0,1.0,11.0,-1.5,188391.03869653767,-7.856e-06,1.1784000000000001e-05,-2.06,2080.0,1.0,11.0,-0.62,8200.642383653387,-7.3165e-05,4.53623e-05,-0.26,105045.95760645282,1.0,11.0,-1.42,25298.15684857246,-5.534e-05,7.85828e-05,-2.94,2959.70402959704,1.0,11.0,-1.18,3477.218225419664,-0.0003336,0.00039364799999999997,-0.42000000000000004,10437.670501719844
DataValue,1.0,12.0,-0.45999999999999996,566.7546853867457,-0.00077635,0.00035712099999999996,-0.94,960.0,1.0,12.0,-1.5,162218.4468679783,-9.1235e-06,1.3685249999999999e-05,-2.62,2640.0,1.0,12.0,-0.5800000000000001,26723.932235743265,-2.0955e-05,1.21539e-05,-0.45999999999999996,55648.947887079004,1.0,12.0,-1.34,28135.99062133646,-4.6915e-05,6.286610000000001e-05,-1.02,39326.90489695595,1.0,12.0,-1.18,3598.014888337469,-0.0003224,0.00038043199999999994,-0.98,5613.247263541959
DataValue,1.0,13.0,-0.45999999999999996,564.3196101064511,-0.0007797,0.000358662,-1.62,1639.9999999999998,1.0,13.0,-1.42,156660.885134001,-8.9365e-06,1.2689829999999999e-05,-0.1,842105.2631578946,1.0,13.0,-0.62,25188.91687657431,-2.382e-05,1.4768399999999999e-05,-0.74,760.0,1.0,13.0,-1.38,26813.880126182965,-5.072e-05,6.99936e-05,-0.5,59148.04072115111,1.0,13.0,-1.22,2751.031636863824,-0.0004362,0.000532164,-0.74,7905.138339920949
DataValue,1.0,14.0,-0.45999999999999996,563.4524266871559,-0.0007809,0.00035921399999999995,-0.9,919.9080091990801,1.0,14.0,-1.38,148577.04703119028,-9.1535e-06,1.2631829999999999e-05,-1.82,1839.9080045997703,1.0,14.0,-0.62,6534.52406883032,-9.182e-05,5.6928399999999995e-05,-0.98,999.950002499875,1.0,14.0,-1.38,26539.174553614987,-5.1245e-05,7.07181e-05,-0.8200000000000001,47151.27701375245,1.0,14.0,-1.22,2856.122813280971,-0.00042015,0.0005125829999999999,-0.30000000000000004,11237.928007023706
DataValue,1.0,15.0,-0.45999999999999996,562.5159805676298,-0.0007822,0.000359812,-1.34,1360.0,1.0,15.0,-1.38,166309.99694283097,-8.1775e-06,1.1284949999999998e-05,-1.9,1920.0960048002398,1.0,15.0,-0.62,27441.115938714836,-2.1865e-05,1.3556300000000001e-05,-1.1,1120.0,1.0,15.0,-1.34,28323.141293852594,-4.6605e-05,6.245070000000001e-05,-2.34,2360.0,1.0,15.0,-1.22,2836.8794326241136,-0.000423,0.0005160599999999999,-1.98,1962.8048481279748
DataValue,1.0,16.0,-0.45999999999999996,559.7608294637745,-0.00078605,0.000361583,-1.62,1639.918004099795,1.0,16.0,-1.34,164989.68814449097,-8.0005e-06,1.0720670000000002e-05,-0.14,809102.4020227559,1.0,16.0,-0.62,33774.27526034337,-1.7765e-05,1.10143e-05,-0.22,149812.734082397,1.0,16.0,-1.38,26565.094247485107,-5.1195e-05,7.06491e-05,-1.74,1760.0,1.0,16.0,-1.22,2831.19027958004,-0.00042385,0.000517097,-0.62,8922.969675845243
DataValue,1.0,17.0,-0.45999999999999996,559.0141024012197,-0.0007871,0.00036206599999999997,-3.18,3200.0,1.0,17.0,-1.3,156901.20127482226,-8.158e-06,1.0605400000000002e-05,-1.3,1320.0,1.0,17.0,-0.66,35388.44346143213,-1.8085e-05,1.19361e-05,-1.42,1439.92800359982,1.0,17.0,-1.34,28329.219873376976,-4.6595e-05,6.24373e-05,-2.86,2880.1440072003597,1.0,17.0,-1.22,2772.6432532347503,-0.0004328,0.000528016,-0.74,7906.783187682065
DataValue,1.0,18.0,-0.45999999999999996,560.7953097119552,-0.0007846,0.00036091599999999997,-2.86,2880.0,1.0,18.0,-1.26,151062.9225802522,-8.2085e-06,1.0342709999999999e-05,-0.33999999999999997,646377.5922434689,1.0,18.0,-0.66,1075.088190828154,-0.0005953,0.00039289800000000003,-0.02,235710.07660577493,1.0,18.0,-1.3,29619.34513479116,-4.3215e-05,5.61795e-05,-0.30000000000000004,66334.99170812604,1.0,18.0,-1.22,2873.563218390804,-0.0004176,0.000509472,-0.22,11704.462326261886
DataValue,1.0,19.0,-0.45999999999999996,557.6679340937897,-0.000789,0.00036293999999999996,-0.62,639.9680015999201,1.0,19.0,-0.30000000000000004,383.45658723637365,-0.0007302,0.00021906000000000003,-3.26,3279.83600819959,1.0,19.0,-0.62,61096.68550481136,-9.8205e-06,6.0887100000000005e-06,-2.5,2520.0,1.0,19.0,-1.3,29674.278428190566,-4.3135e-05,5.60755e-05,-0.78,48647.005168744305,1.0,19.0,-1.18,3612.5817502335717,-0.0003211,0.00037889799999999996,-0.5800000000000001,9227.929867733004
