DataName,Ith,Ith,Ith,Ith,Ith,Ith,Ith,Ith,Ith,Ith
Units,A,A,A,A,A,A,A,A,A,A
Size,120nm,120nm,120nm,120nm,120nm,120nm,120nm,120nm,120nm,120nm
Device,1,2,3,4,5,6,7,8,9,10
DataValue,5.6585e-05,0.00091625,5.2375e-05,0.00101025,3.8675e-05,0.00088845,6.0225e-05,6.1935e-05,0.0009354,6.601e-05
DataValue,5.76e-05,0.0009635,4.8625e-05,0.00085915,4.11e-05,0.00086695,5.843e-05,5.928e-05,6.054e-05,6.434e-05
DataValue,5.6395e-05,0.00091665,4.7625e-05,0.0008652,0.00091515,0.0011171,5.731e-05,7.2135e-05,6.253e-05,6.5635e-05
DataValue,5.827e-05,4.953e-05,4.397e-05,0.00099995,0.00101245,0.00105655,6.0795e-05,6.585e-05,6.2495e-05,6.379e-05
DataValue,5.7865e-05,4.9625e-05,4.76e-05,0.00089375,0.00105475,0.0010953,5.8585e-05,6.3955e-05,6.0985e-05,6.418e-05
DataValue,5.656e-05,4.773e-05,4.4175e-05,0.00098145,0.0009316,0.00098405,5.9795e-05,6.707e-05,5.775e-05,6.431e-05
DataValue,5.6805e-05,4.8145e-05,5.0955e-05,5.554e-05,0.0009714,0.0008607,5.685e-05,6.6675e-05,7.7005e-05,6.475e-05
DataValue,6.8695e-05,5.2795e-05,4.5375e-05,7.1215e-05,0.00100195,0.00088225,6.058e-05,6.351e-05,7.3715e-05,6.2055e-05
DataValue,7.1085e-05,5.332e-05,4.255e-05,6.424e-05,0.0011497,0.00104805,7.609e-05,6.5065e-05,7.32e-05,6.4165e-05
DataValue,7.1265e-05,5.2855e-05,4.6815e-05,6.206e-05,5.4325e-05,0.001086,5.9245e-05,6.6405e-05,7.2575e-05,5.91e-05
DataValue,6.9395e-05,6.321e-05,5.3585e-05,5.913e-05,0.00102745,0.00091555,5.812e-05,6.4915e-05,7.1205e-05,6.444e-05
DataValue,5.538e-05,6.5945e-05,4.1125e-05,5.5945e-05,0.00110825,0.0009898,5.9295e-05,6.663e-05,6.923e-05,0.0011512
DataValue,7.065e-05,5.979e-05,4.404e-05,5.5675e-05,5.4425e-05,0.00095135,5.7475e-05,6.031e-05,0.00116455,6.1385e-05
DataValue,6.4175e-05,5.0845e-05,4.745e-05,7.3845e-05,6.68e-05,5.7895e-05,6.996e-05,5.9285e-05,0.0009647,6.1545e-05
DataValue,6.6795e-05,5.792e-05,4.3275e-05,7.0775e-05,6.7435e-05,0.0009178,5.7455e-05,8.151e-05,0.001099,5.987e-05
DataValue,6.254e-05,6.368e-05,4.7715e-05,6.2775e-05,5.852e-05,0.00105335,7.408e-05,5.501e-05,0.0008827,6.1595e-05
DataValue,6.448e-05,5.917e-05,4.26e-05,6.215e-05,5.7745e-05,0.0009503,7.5045e-05,5.5125e-05,6.352e-05,0.00084035
DataValue,6.195e-05,5.976e-05,4.6965e-05,5.939e-05,5.4745e-05,0.0011836,7.836e-05,5.593e-05,6.263e-05,0.0011273
DataValue,6.0675e-05,6.241e-05,4.561e-05,6.2135e-05,5.606e-05,0.00087165,6.7505e-05,5.524e-05,0.0010435,6.145e-05
DataValue,5.9375e-05,5.216e-05,4.7345e-05,6.011e-05,7.454e-05,0.00110125,7.151e-05,5.595e-05,0.00087445,7.673e-05
DataValue,5.581e-05,4.6265e-05,4.2295e-05,5.857e-05,7.156e-05,0.00112675,6.67e-05,5.627e-05,0.0008766,5.702e-05
DataValue,5.94e-05,4.3675e-05,4.064e-05,5.574e-05,5.376e-05,5.797e-05,6.4925e-05,5.541e-05,6.2055e-05,5.8595e-05
DataValue,7.392e-05,4.3835e-05,3.996e-05,7.078e-05,6.746e-05,6.094e-05,7.3925e-05,5.528e-05,6.007e-05,0.00084225
DataValue,5.8895e-05,4.5855e-05,4.0525e-05,7.853e-05,6.719e-05,5.951e-05,7.039e-05,5.6445e-05,8.1145e-05,0.0010309
DataValue,6.4705e-05,4.553e-05,4.157e-05,6.9325e-05,6.5905e-05,5.97e-05,5.7565e-05,5.587e-05,7.635e-05,0.0010002
DataValue,5.985e-05,4.524e-05,4.137e-05,6.654e-05,5.384e-05,5.8415e-05,7.7245e-05,5.5895e-05,8.6005e-05,5.737e-05
DataValue,6.672e-05,4.469e-05,4.2045e-05,7.155e-05,6.856e-05,6.417e-05,6.61e-05,5.5345e-05,6.0675e-05,5.7645e-05
DataValue,5.765e-05,4.4875e-05,4.085e-05,7.552e-05,5.3795e-05,5.8305e-05,6.335e-05,5.556e-05,0.00113735,5.7845e-05
DataValue,5.985e-05,4.5195e-05,4.2025e-05,6.4945e-05,6.411e-05,5.9415e-05,6.6635e-05,5.497e-05,0.0009002,5.6935e-05
DataValue,5.7655e-05,5.158e-05,4.567e-05,6.662e-05,6.2405e-05,5.905e-05,6.2235e-05,5.5555e-05,7.9585e-05,0.0009607
DataValue,5.613e-05,4.9605e-05,4.7045e-05,6.705e-05,6.525e-05,6.1775e-05,6.256e-05,7.632e-05,7.8265e-05,0.00118915
DataValue,6.7405e-05,4.315e-05,4.253e-05,6.656e-05,6.244e-05,5.911e-05,7.1045e-05,7.4655e-05,7.484e-05,5.715e-05
DataValue,6.713e-05,4.3705e-05,4.361e-05,6.9545e-05,5.8345e-05,5.8825e-05,6.7375e-05,5.6385e-05,5.9565e-05,7.351e-05
DataValue,6.7735e-05,4.529e-05,4.6335e-05,6.3775e-05,5.962e-05,5.9925e-05,6.2915e-05,7.581e-05,5.963e-05,0.0010002
DataValue,6.3875e-05,3.897e-05,4.9045e-05,5.91e-05,5.9255e-05,5.9775e-05,6.748e-05,5.5175e-05,7.8865e-05,0.00100015
DataValue,5.1135e-05,5.1035e-05,4.33e-05,6.0025e-05,5.458e-05,6.0505e-05,6.234e-05,7.396e-05,7.296e-05,7.1815e-05
DataValue,6.611e-05,3.938e-05,5.0395e-05,5.8175e-05,5.573e-05,5.9895e-05,6.1835e-05,7.484e-05,7.0655e-05,7.3885e-05
DataValue,5.594e-05,4.03e-05,4.8085e-05,5.9285e-05,5.4885e-05,6.2395e-05,5.997e-05,7.096e-05,8.333e-05,7.6635e-05
DataValue,6.4805e-05,4.636e-05,3.9365e-05,5.918e-05,5.395e-05,6.1515e-05,6.36e-05,7.0975e-05,7.206e-05,6.8695e-05
DataValue,6.556e-05,3.9475e-05,4.4385e-05,6.208e-05,5.6965e-05,5.8695e-05,6.074e-05,7.133e-05,6.765e-05,7.226e-05
DataValue,6.789e-05,4.079e-05,3.841e-05,6.0755e-05,5.448e-05,5.6825e-05,5.8615e-05,6.9755e-05,7.7055e-05,7.486e-05
DataValue,6.164e-05,4.07e-05,4.2085e-05,5.567e-05,5.9405e-05,5.739e-05,5.792e-05,5.5565e-05,7.471e-05,6.96e-05
DataValue,5.747e-05,4.1575e-05,4.234e-05,5.5775e-05,4.995e-05,5.725e-05,8.2015e-05,7.553e-05,0.00119355,6.688e-05
DataValue,6.05e-05,4.2795e-05,3.9625e-05,5.5555e-05,4.971e-05,5.6325e-05,5.8365e-05,7.2185e-05,7.255e-05,6.9775e-05
DataValue,6.0195e-05,4.1435e-05,4.014e-05,7.002e-05,0.00104715,5.731e-05,5.8315e-05,5.496e-05,0.0008643,6.7635e-05
DataValue,5.917e-05,4.0595e-05,4.0635e-05,6.733e-05,5.29e-05,5.6745e-05,7.66e-05,5.452e-05,0.00096795,6.6225e-05
DataValue,5.9075e-05,3.9545e-05,4.6265e-05,6.884e-05,0.0010185,7.366e-05,5.7985e-05,5.5725e-05,5.934e-05,6.3735e-05
DataValue,5.8015e-05,4.131e-05,4.2405e-05,7.2535e-05,4.9515e-05,5.7375e-05,5.8465e-05,5.884e-05,5.825e-05,6.302e-05
DataValue,5.804e-05,4.2665e-05,4.139e-05,6.794e-05,0.001121,5.7905e-05,5.7035e-05,5.5895e-05,0.00114325,6.7545e-05
DataValue,7.2445e-05,3.8825e-05,3.782e-05,6.6775e-05,6.04e-05,5.6735e-05,7.892e-05,5.716e-05,5.9565e-05,6.22e-05
DataValue,7.671e-05,3.3965e-05,3.931e-05,7.724e-05,5.833e-05,7.9405e-05,7.0575e-05,5.664e-05,6.0065e-05,6.5335e-05
DataValue,6.6475e-05,3.835e-05,4.237e-05,5.368e-05,6.4995e-05,5.58e-05,7.473e-05,5.7025e-05,6.3975e-05,6.3075e-05
DataValue,6.627e-05,3.9965e-05,4.243e-05,5.313e-05,5.5685e-05,7.147e-05,6.585e-05,5.8035e-05,5.881e-05,6.368e-05
DataValue,7.1595e-05,3.9565e-05,4.5635e-05,6.6915e-05,5.4165e-05,7.617e-05,7.196e-05,5.727e-05,6.234e-05,5.8455e-05
DataValue,5.927e-05,3.394e-05,3.859e-05,7.303e-05,5.438e-05,6.8195e-05,6.959e-05,5.663e-05,5.0985e-05,5.948e-05
DataValue,6.0795e-05,3.8435e-05,3.612e-05,5.4115e-05,5.5755e-05,7.3595e-05,7.215e-05,5.7095e-05,5.315e-05,5.7775e-05
