DataName,Rth,Rth,Rth,Rth,Rth,Rth,Rth,Rth,Rth,Rth
Units,\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W)
Size,170nm,170nm,170nm,170nm,170nm,170nm,170nm,170nm,170nm,170nm
Device,1,2,3,4,5,6,7,8,9,10
DataValue,16401.845207585855,17498.34681316445,13787.700744222482,19288.17451205511,18467.893809610592,12636.012636012638,18784.109658586116,17900.90570058604,13213.213213213212,15674.124026062787
DataValue,19004.883199155338,18041.80418041804,14955.871483848528,22043.01075268817,19562.48760822153,12076.48440120765,16824.849007765315,20409.464889342435,13595.983005021244,14653.292629742695
DataValue,18601.04630885487,19258.99829722271,14992.373066027458,22154.67747382641,19966.27318718381,12182.741116751267,19090.68073348405,21058.1732034746,13984.902661899087,14831.81778052441
DataValue,18679.465559735374,17060.16755521706,14738.646101113967,19826.51796778191,18667.48541602702,12324.546388223212,17507.435048538242,18931.086228789103,14285.714285714284,15225.666122892875
DataValue,18619.084561675718,17866.63830692332,15147.512109202995,22401.311296271,18898.420987193833,12636.012636012638,17502.52440255806,19824.720459353277,14367.34693877551,17487.73725741096
DataValue,19103.210400636774,15840.125247501956,12566.940378436273,20243.40281961682,18377.463426429695,12765.95744680851,17836.725360164644,19388.780516640065,11461.318051575932,14605.520539013258
DataValue,17093.02997054917,16243.271319293606,12634.601579325197,20545.432310138192,20071.879026242626,12430.939226519338,16407.73214377275,19863.138133591714,14402.618657937808,17325.163743925626
DataValue,17213.305419865086,16527.337369078505,12772.13352685051,22741.454621091314,18201.413004430608,12720.848056537103,16544.307724123668,20213.224872126702,14379.084967320263,17503.602113239765
DataValue,19855.222337125128,16992.689191859317,12993.724621631598,20575.627679118184,20202.0202020202,12972.972972972972,16668.402958641527,19774.522216193403,11665.586519766688,17481.21302563556
DataValue,17353.579175704992,17389.546051966434,13313.161875945538,21198.738170347002,18258.258258258258,12968.299711815562,16571.72449508027,21089.178936539574,14617.940199335548,15184.381778741865
DataValue,17498.22653109482,17415.076190958338,13348.50208570345,20499.054359099508,20546.994307927253,13095.671153146599,17021.276595744683,21037.778205374896,11688.311688311689,15782.798628399642
DataValue,17600.19027232727,17731.9587628866,13288.03322008305,22550.704709522168,20126.47038825049,13377.926421404683,17022.182030959095,20777.90447231724,11338.582677165354,15504.591389414423
DataValue,19951.506754416347,17789.729534053888,13507.29086722947,22678.559081794923,20657.4080535976,13473.05389221557,17144.387891776052,21161.290322580644,11944.2601194426,16014.489299842715
DataValue,18469.986272307502,15394.708069101247,13373.860182370821,22634.738803395212,20571.26971992494,13528.748590755355,17309.460702115,21648.73605702594,12299.282541851726,15747.29343394104
DataValue,18556.830292771614,15843.723274969618,13409.523809523811,22913.028292001392,19072.71472488864,13544.018058690745,17651.276959567545,19518.996165911467,12149.848126898414,15867.768595041322
DataValue,18973.142747259793,16108.365367014461,12965.00920810313,22825.330549756436,19005.939356048762,13397.84145887607,17676.62818317406,21254.536029030583,12299.282541851726,15942.304042512811
DataValue,18805.59085133418,16382.760867541654,13061.224489795919,22788.85569374001,19275.88612009384,13181.984621017942,15911.516445134373,21875.416833400028,12290.884260839877,15750.984436527282
DataValue,18742.480845944407,13793.103448275862,13037.037037037036,20676.923076923078,19952.743502231555,13010.480664980123,16222.365102131658,19311.454681303523,12232.415902140674,17698.16003884962
DataValue,19379.33743616603,13533.834586466164,13288.03322008305,23035.325514432192,19799.40080760714,13328.396890040725,16345.243434494443,19526.936711803337,12508.68658790827,15844.572290861077
DataValue,19073.393904246404,14376.996805111821,12739.775606225117,21129.417683310276,19659.83315010024,13177.159590043922,16473.306212646276,18945.58782069354,12788.632326820603,16195.893184228285
DataValue,19105.402439811525,14469.453376205789,13080.639167595691,21792.70981969127,20241.02803116053,13177.159590043922,16652.282073412192,19319.227230910765,13005.78034682081,16430.317848410756
DataValue,19307.28589133129,14657.980456026058,12993.724621631598,21614.66709552911,18508.63142907991,13308.687615526802,12750.185322461082,19687.115486025665,12931.034482758621,16007.622677465459
DataValue,19374.26364707422,14285.714285714286,13114.754098360654,21900.664841611262,19146.977600490947,13225.569434239529,13266.486694947936,21762.20806794055,12684.989429175475,16106.610421360432
DataValue,18510.41210681008,14527.845036319613,13066.072754268745,22160.6648199446,18661.40319397093,13318.534961154273,15585.138457256831,19631.901840490795,13076.643661460224,16224.046354418155
DataValue,19029.251044680164,14729.950900163667,13394.216133942162,22073.314938904216,19370.46004842615,13293.94387001477,13793.103448275862,21926.599371615746,12972.972972972972,16460.90534979424
DataValue,18557.993730407525,14802.631578947368,13233.082706766916,22343.396728288335,18980.411242243583,13318.534961154273,13921.489275596925,19842.910293509714,13038.75407461065,16590.134794845206
DataValue,18847.500795924865,14968.81496881497,13213.213213213212,22273.781902552204,19332.052791374932,13447.8894284647,11492.001305909238,20467.83625730994,13215.859030837004,16086.561018815531
DataValue,18852.30240112095,14766.201804757999,13471.106008419441,22615.602073096856,18972.332015810276,13338.27343460541,11725.5163224517,20041.753653444674,13186.813186813186,16660.055533518444
DataValue,19230.76923076923,14857.614527445316,13445.378151260504,22667.476219388787,19969.278033794162,13462.976813762154,12071.330589849109,19633.04896575903,13544.018058690745,16660.881638320025
DataValue,19178.437216534923,14778.325123152708,13353.566009104703,22477.923468022476,18414.086776383934,13427.825438269303,14792.638901118253,22150.189086980008,13298.854820834871,16317.016317016316
DataValue,19592.268996558116,14802.631578947368,13308.128544423442,22650.66738573547,18399.264029438826,13437.849944008958,12006.980802792319,20612.232378381694,12716.354645001767,16572.950577093816
DataValue,16922.734357604095,14876.03305785124,13003.324713705208,22801.302931596092,18815.78173693185,13590.033975084938,15224.97621097467,20359.93455735321,13498.312710911137,16425.498631208447
DataValue,19030.47447601903,15062.76150627615,13394.216133942162,20786.754486675934,18854.584020740043,13528.748590755355,15377.574370709382,20922.847001681297,13289.036544850498,16531.365313653136
DataValue,19268.324436922274,15397.775876817794,13153.961136023916,21200.542339455194,17003.628823224466,13549.115543846443,15512.465373961219,20935.883855691944,13348.164627363738,16974.84086086693
DataValue,19705.745289927436,15221.98731501057,13404.417364813406,23020.005480953685,19028.36415531902,9440.738840430991,15593.094486727307,21086.98380820886,13452.914798206279,16785.732127691463
DataValue,17492.37585591806,11913.240530916155,13664.596273291927,23132.530120481926,19078.280569963634,13538.924407672057,15724.447772369898,21245.652861207713,13432.835820895521,16883.573689764333
DataValue,19189.62722852512,15254.237288135595,13455.65749235474,21158.81412227826,16995.699259028963,9623.430962343096,13978.0577001219,20928.059794456556,13220.712449504223,16886.119207960597
DataValue,17668.255259793095,15332.197614991483,13465.952563121653,21490.597863434745,16961.423104767815,9855.382967327263,15963.511972633978,21342.819030680304,13422.818791946309,16703.12189302048
DataValue,17314.04487982686,15450.643776824034,13124.533929903057,21798.365122615804,19321.338002656685,10233.592880978866,15949.114729197323,21344.17481895566,13483.146067415732,16952.573158425832
DataValue,16996.53360169965,15358.361774744028,13318.199016269393,21856.534722663448,17398.684489709314,9892.473118279571,16199.797502531219,21458.67926938306,13457.943925233645,16799.1600419979
DataValue,18059.763559674448,15404.36456996149,13238.0594208349,22219.351504973514,17983.442074675146,10038.188761593017,16193.55149645766,19295.490240071795,13437.849944008958,16337.644656228726
DataValue,17487.344684767602,11979.166666666668,13008.130081300813,19986.3729275494,17423.63877822045,10054.644808743169,16231.884057971014,19239.373601789706,13397.84145887607,16890.363444427687
DataValue,17562.10283073368,12340.71093226023,15106.934258486672,20111.987201462693,16232.668244842745,10225.062517365935,16157.730223611443,19141.95092092816,13878.180416345413,17072.303236624153
DataValue,17639.54972728328,12654.745529573589,13114.754098360654,20864.204848556696,16031.29920320626,10398.417632099465,16395.842482799002,19038.13160661907,12815.948736205055,16929.510757293294
DataValue,17309.11575471161,12018.28870019595,17199.0171990172,20379.805465493282,16014.489299842715,10577.752227651625,14209.004543577033,19907.40740740741,12332.990750256939,16974.84086086693
DataValue,18092.00737963459,12585.499316005473,15393.565131785026,20901.371652514696,17000.60716454159,10523.305690591937,16321.772078111337,19809.962568384683,11814.899901542502,17331.20132047248
DataValue,17838.281891796738,13003.533568904595,17440.95509992214,18481.44155244109,16735.568062957613,10635.838150289017,16431.12132622622,19929.320433346853,12435.233160621763,17026.451809060505
DataValue,18827.026692264815,15902.41698667269,17238.725565645684,18454.913620751526,16801.680168016803,10798.1220657277,16466.55231560892,20010.47059507882,12016.021361815754,17192.85677736274
DataValue,18330.921369995176,16093.635698610096,18569.891864349203,18236.158249328808,17155.986724534083,10635.838150289017,16390.243902439022,19675.131548844656,15017.064846416382,17155.986724534083
DataValue,18838.693685319453,16372.093023255815,22009.029345372463,18860.01676445935,15548.022598870055,10845.85912172119,16397.442779756966,20453.05904037101,15068.493150684932,17048.914146539475
DataValue,18670.924947795113,17346.73763059334,20374.3792181332,18762.70391410851,15888.41162071036,11121.184647929887,16513.490932324174,19987.217477194816,14921.576939381095,17158.615054642018
DataValue,18661.755678330264,17682.222333852413,18369.175627240144,18977.33263046916,15928.138167338055,11087.677011147936,16554.986204178163,20008.142848833828,14908.93689114782,17137.61093542793
DataValue,18526.41842891096,17403.3422327697,23451.36156753838,19438.44492440605,13440.244368079419,11309.157959434542,14351.272423863162,20365.8753182168,14802.354920100925,15177.586587249061
DataValue,18510.62534250746,15209.125475285171,25473.321858864027,19503.738216491496,15993.305128085916,11057.692307692309,14465.937762825903,19814.526812971602,11956.160743938892,15150.847830874258
DataValue,19647.127253926195,15649.452269170579,21122.469704150022,16833.630666483692,16076.268810169175,11337.030191004314,14465.937762825903,19991.863776370083,12375.386730835338,14955.221285105643
DataValue,17020.34804429655,13045.0194966324,22995.46142208775,17002.402513398632,14007.162753680861,11365.040148239654,11964.649898028552,17811.962351988666,12303.485987696515,15313.390313390313
DataValue,19112.284672450645,13156.953879156239,24204.759179000735,16910.987546528195,14384.96117695137,11379.097093382808,14644.529587058323,18150.879183210436,12977.649603460706,15044.170383976209
DataValue,17840.805123513266,13166.368515205724,22722.176545332237,16825.164594001464,14159.292035398228,11503.594873397937,11784.39906260462,20318.960425280566,12236.573759347384,17270.624518118733
DataValue,18061.82702327197,15457.277801631602,24218.622156766487,17144.188213370602,14251.01214574899,11594.202898550724,14719.726144629867,18425.460636515912,12422.360248447205,17293.73616758454
DataValue,17936.188559931015,15858.332232060262,25978.711888868842,17510.468214693567,13996.023856858848,11749.680715197956,14713.430282292558,18399.456379697873,12627.148368993336,17107.07194134718
DataValue,17966.14073476909,17963.766266904822,22622.41404970978,17398.704552976218,14085.63425370148,11791.092598526115,14795.698924731181,18077.239112571897,12349.91423670669,14990.413107896113
DataValue,17446.737124643518,15969.4805482855,23955.97280673357,17230.884487521656,14509.480626545756,11521.603005635567,12571.428571428572,17679.558011049725,12658.227848101267,17033.3569907736
DataValue,17767.65375854214,12760.05547850208,24242.42424242424,17158.576957150184,14018.319394663482,11634.524185899463,12526.690391459075,18253.47438290811,13001.083423618635,16835.354243912214
DataValue,18101.647714086794,13569.321533923305,27333.073018352203,17649.88009592326,14297.319252640129,11601.513240857503,12281.926029309143,17814.666734146464,12578.616352201258,16929.510757293294
DataValue,17772.714326402733,13411.078717201166,24304.13005993924,17578.21829472176,14420.319541171652,11844.222722883811,12346.545071904595,17524.64403066813,12825.08015675098,17031.6301703163
DataValue,18536.121673003803,14003.044140030443,24650.23317788141,17712.74547554871,14636.174636174637,11806.22393326917,12171.507607192256,17939.96228530656,12261.58038147139,16787.40944291781
DataValue,16270.083384177346,14285.714285714288,24200.801242743844,17859.74278087843,14509.480626545756,12018.28870019595,11940.298507462687,18377.36243082385,12870.933142652842,17006.63056132004
DataValue,18683.75351817474,14725.890356142458,21407.986825854263,17903.18657261007,14575.569358178054,12101.282472870766,12205.270457697641,18591.876617546084,13167.520117044625,17427.38589211618
DataValue,18252.01825201825,14655.51573078455,22962.45940025682,17918.878122413207,11080.3324099723,12185.430463576158,11916.046039268787,18678.694613955955,13052.936910804932,15199.71721456345
DataValue,18204.095921582357,14856.68146951958,24254.342838413635,18026.844322523757,11281.729865246005,12077.45323268789,14751.286449399657,17930.823697213593,12653.778558875221,14964.329215242737
