DataName,Vho,Vho,Vho,Vho,Vho,Vho,Vho,Vho,Vho,Vho
Units,V,V,V,V,V,V,V,V,V,V
Size,80nm,80nm,80nm,80nm,80nm,80nm,80nm,80nm,80nm,80nm
Device,1,2,3,4,5,6,7,8,9,10
DataValue,0.5800000000000001,1.1400000000000001,0.14,0.9,0.06,0.26,0.78,0.86,1.34,1.02
DataValue,0.86,1.58,0.1,1.26,1.1,0.62,0.06,0.42000000000000004,0.62,0.94
DataValue,0.26,1.38,1.26,0.14,0.45999999999999996,0.38,2.5,0.42000000000000004,0.33999999999999997,1.18
DataValue,0.1,0.9,0.62,1.06,1.62,0.22,0.1,0.30000000000000004,1.26,0.86
DataValue,0.94,0.33999999999999997,0.9,1.9,1.54,0.1,1.02,0.9,1.02,0.18
DataValue,0.86,1.26,1.22,1.94,1.02,0.94,0.78,1.34,0.26,0.8200000000000001
DataValue,0.78,0.98,0.5800000000000001,1.46,1.3,2.34,1.1400000000000001,1.5,0.8200000000000001,0.33999999999999997
DataValue,0.22,0.18,0.1,1.06,0.30000000000000004,1.02,0.38,0.98,0.26,0.62
DataValue,0.8200000000000001,0.54,2.7,1.1,0.54,0.38,1.02,0.26,0.38,0.5
DataValue,1.22,0.22,0.02,0.42000000000000004,1.22,1.54,0.18,0.45999999999999996,1.18,0.7
DataValue,0.02,0.1,1.94,1.26,0.06,1.62,0.02,0.38,0.38,0.18
DataValue,0.8200000000000001,2.7,2.06,1.06,1.18,2.06,1.18,0.33999999999999997,0.54,0.9
DataValue,0.5,0.9,2.46,1.06,0.1,0.45999999999999996,0.5,0.33999999999999997,0.62,0.26
DataValue,1.1400000000000001,1.18,0.94,0.62,0.14,1.3,2.06,0.33999999999999997,0.18,0.54
DataValue,1.7,1.66,2.62,0.33999999999999997,0.98,2.62,1.66,1.18,1.62,0.62
DataValue,1.94,2.26,0.45999999999999996,1.42,1.1,1.74,0.38,0.98,0.98,0.7
DataValue,2.7,2.9,2.06,0.14,0.78,0.02,1.78,0.66,1.3,1.18
DataValue,0.74,1.98,0.33999999999999997,0.7,0.94,0.33999999999999997,0.62,0.9,1.1,1.7
DataValue,0.02,2.62,1.9,0.18,0.14,1.06,1.78,0.8200000000000001,0.78,2.22
DataValue,0.42000000000000004,1.78,2.62,0.5800000000000001,0.8200000000000001,2.46,1.26,0.33999999999999997,1.26,1.22
DataValue,2.06,0.33999999999999997,2.46,0.78,0.06,1.26,1.46,0.06,1.22,1.46
DataValue,0.06,0.45999999999999996,1.94,1.38,1.54,0.30000000000000004,0.1,0.45999999999999996,1.1,0.33999999999999997
DataValue,2.1,1.1400000000000001,0.54,0.30000000000000004,1.66,1.82,1.7,0.06,0.1,1.7
DataValue,1.22,1.98,2.78,0.06,1.06,0.02,0.42000000000000004,0.42000000000000004,0.62,1.46
DataValue,1.66,1.8599999999999999,1.74,1.02,2.58,1.1400000000000001,0.62,0.62,1.1,1.58
DataValue,0.66,0.02,1.98,0.78,0.45999999999999996,0.74,1.82,0.18,0.26,0.06
DataValue,0.18,1.18,1.26,0.18,1.42,1.1400000000000001,0.02,0.98,0.18,1.38
DataValue,1.38,2.34,2.18,1.18,0.9,1.82,1.62,0.1,0.94,1.5
DataValue,0.8200000000000001,1.54,2.62,0.9,2.06,0.33999999999999997,0.22,0.98,1.02,2.3
DataValue,1.46,1.1,2.86,0.42000000000000004,2.62,1.82,1.38,1.02,0.30000000000000004,1.02
DataValue,1.62,2.54,2.46,0.06,2.26,0.02,0.42000000000000004,0.62,1.18,0.06
DataValue,1.98,0.26,0.30000000000000004,0.1,1.94,0.54,1.06,1.02,1.38,0.74
DataValue,0.9,2.3,0.94,1.46,1.66,0.14,0.14,0.9,0.7,0.14
DataValue,0.98,2.9,1.54,0.30000000000000004,1.02,0.02,2.62,0.74,0.1,2.54
DataValue,0.30000000000000004,0.54,1.1,2.62,1.22,1.06,2.3,0.1,1.06,0.1
DataValue,0.86,1.26,1.26,1.62,0.74,1.18,0.66,2.58,0.14,0.06
DataValue,0.9,0.06,2.18,0.5,1.58,1.82,0.78,1.18,1.1,2.74
DataValue,0.98,2.22,1.74,0.78,1.46,0.54,0.02,0.5,0.45999999999999996,2.54
DataValue,0.54,0.5800000000000001,0.38,0.33999999999999997,1.02,1.34,1.1400000000000001,0.74,1.3,1.74
DataValue,0.5,0.98,2.54,0.02,0.45999999999999996,0.7,2.62,0.30000000000000004,0.1,1.42
DataValue,2.62,0.5,0.02,0.78,1.22,0.06,0.06,0.66,0.38,2.26
DataValue,0.5,2.66,0.33999999999999997,2.02,0.98,0.98,1.54,2.62,0.30000000000000004,1.34
DataValue,0.7,0.22,0.86,0.5800000000000001,2.18,2.38,1.9,0.1,0.78,1.46
DataValue,0.02,0.06,0.62,0.02,2.66,0.02,2.9,0.78,1.5,1.78
DataValue,0.1,2.66,0.94,0.86,0.33999999999999997,0.30000000000000004,2.3,0.5,0.74,0.54
DataValue,0.86,1.46,1.9,1.8599999999999999,1.98,0.1,0.7,0.54,0.22,1.78
DataValue,0.66,0.5800000000000001,2.94,0.1,0.38,1.3,1.3,2.34,1.02,0.5
DataValue,0.06,2.06,0.14,1.82,2.46,1.7,2.46,1.18,0.54,2.5
DataValue,0.78,0.18,1.38,0.9,2.38,0.22,1.46,0.42000000000000004,0.30000000000000004,0.9
DataValue,0.22,2.42,2.34,2.54,1.66,0.5800000000000001,0.38,1.54,1.22,1.1
DataValue,0.02,1.74,1.3,1.5,0.5,0.22,1.18,0.26,0.62,0.94
DataValue,0.33999999999999997,0.1,0.30000000000000004,2.1,2.78,0.1,0.1,1.74,1.06,0.38
DataValue,0.9,1.82,2.86,0.14,0.66,1.42,0.9,0.45999999999999996,0.74,2.02
DataValue,0.98,0.98,1.1400000000000001,0.42000000000000004,0.9,1.1400000000000001,2.86,0.54,0.5,0.22
DataValue,0.30000000000000004,0.26,0.22,1.26,1.3,0.54,0.30000000000000004,0.62,0.02,0.7
DataValue,0.26,0.5,1.58,0.18,0.7,1.5,1.1400000000000001,0.5800000000000001,0.94,0.33999999999999997
DataValue,0.5800000000000001,0.66,2.66,2.42,2.62,1.06,0.7,0.33999999999999997,0.06,2.18
DataValue,0.86,1.7,2.86,1.38,0.06,2.02,2.18,1.3,1.1,0.02
DataValue,0.06,1.1400000000000001,2.06,2.42,2.38,1.5,0.06,0.22,0.42000000000000004,1.06
