DataName,Vho,Vho,Vho,Vho,Vho,Vho,Vho,Vho,Vho,Vho
Units,V,V,V,V,V,V,V,V,V,V
Size,120nm,120nm,120nm,120nm,120nm,120nm,120nm,120nm,120nm,120nm
Device,1,2,3,4,5,6,7,8,9,10
DataValue,1.3,1.62,2.06,1.42,0.02,1.8599999999999999,1.58,0.8200000000000001,2.42,1.62
DataValue,0.78,1.1,0.33999999999999997,1.18,0.38,1.46,1.1400000000000001,2.3,0.22,1.18
DataValue,1.5,0.42000000000000004,1.3,1.1,0.78,0.33999999999999997,1.38,2.22,1.1,1.22
DataValue,0.1,0.33999999999999997,1.74,0.06,0.62,1.58,0.45999999999999996,0.86,0.45999999999999996,1.46
DataValue,0.62,2.46,2.06,0.7,0.42000000000000004,0.62,1.22,1.22,0.33999999999999997,0.94
DataValue,1.26,0.33999999999999997,1.1400000000000001,0.1,1.74,0.22,0.98,0.33999999999999997,0.1,1.1400000000000001
DataValue,0.22,1.58,0.98,0.02,0.30000000000000004,0.8200000000000001,1.1400000000000001,1.26,1.7,0.14
DataValue,0.5800000000000001,1.82,1.18,0.38,1.1,1.58,0.02,2.5,2.1,1.78
DataValue,0.42000000000000004,1.46,0.30000000000000004,0.54,1.22,0.86,0.22,2.86,1.7,1.82
DataValue,0.86,1.18,1.26,1.34,0.18,1.78,1.02,0.22,2.7,1.22
DataValue,1.54,1.7,0.7,1.02,0.54,1.02,0.22,1.1400000000000001,1.1,0.78
DataValue,1.18,1.98,1.5,0.5,0.54,0.30000000000000004,0.38,1.46,0.5,0.94
DataValue,1.5,0.02,0.22,0.66,0.42000000000000004,1.62,0.62,2.34,0.30000000000000004,1.26
DataValue,0.45999999999999996,0.02,1.3,0.5,0.14,0.74,1.5,0.74,0.14,1.1
DataValue,0.22,1.02,0.94,0.5800000000000001,1.3,1.7,1.38,0.26,0.1,0.26
DataValue,0.1,1.8599999999999999,1.26,0.22,1.22,0.26,0.30000000000000004,2.18,0.06,0.5800000000000001
DataValue,0.78,2.1,1.54,1.5,0.33999999999999997,0.78,0.54,0.9,0.74,0.5800000000000001
DataValue,0.66,3.06,0.02,1.66,1.38,0.42000000000000004,1.02,0.62,0.06,0.26
DataValue,0.62,0.38,1.8599999999999999,1.1,0.45999999999999996,0.18,0.94,1.54,1.06,1.42
DataValue,0.38,2.58,2.18,0.33999999999999997,1.38,1.34,0.5,1.02,0.14,0.30000000000000004
DataValue,1.06,1.94,0.33999999999999997,1.38,0.62,1.26,1.02,2.78,0.33999999999999997,1.74
DataValue,0.38,2.34,1.1400000000000001,1.3,1.5,0.14,0.18,0.54,0.14,0.42000000000000004
DataValue,0.02,1.66,1.18,1.22,0.06,0.33999999999999997,0.22,0.54,0.06,0.22
DataValue,0.18,3.02,0.86,1.58,0.02,0.26,1.1400000000000001,0.26,0.26,0.7
DataValue,0.66,0.33999999999999997,1.54,0.1,1.22,1.34,0.1,0.54,0.1,0.30000000000000004
DataValue,0.9,2.14,1.8599999999999999,1.18,1.58,1.22,1.1,3.02,1.02,1.74
DataValue,0.94,2.3,1.8599999999999999,0.14,0.42000000000000004,0.18,1.58,0.14,0.02,1.42
DataValue,1.1,0.06,1.02,0.8200000000000001,0.94,0.78,0.02,0.45999999999999996,0.66,0.02
DataValue,0.18,0.1,1.98,0.86,0.38,0.14,1.58,1.46,0.30000000000000004,1.78
DataValue,1.1400000000000001,0.94,1.82,1.58,0.8200000000000001,0.45999999999999996,1.1400000000000001,0.14,1.1400000000000001,0.74
DataValue,0.98,0.30000000000000004,2.06,1.62,1.38,0.98,1.1,0.9,1.9,0.1
DataValue,0.42000000000000004,0.45999999999999996,0.1,0.38,0.66,0.54,0.66,0.26,1.66,0.45999999999999996
DataValue,1.18,0.78,1.9,0.22,1.3,1.1,0.30000000000000004,1.18,0.14,1.46
DataValue,0.5,2.18,1.9,0.54,1.34,1.62,0.14,0.33999999999999997,0.22,0.06
DataValue,1.02,2.34,0.98,0.1,0.42000000000000004,0.7,0.5800000000000001,0.9,0.22,1.22
DataValue,0.22,3.06,1.82,1.3,1.78,1.02,1.58,1.58,0.26,1.26
DataValue,0.62,0.94,1.54,0.5,0.9,0.14,1.62,1.58,0.45999999999999996,0.1
DataValue,2.26,0.42000000000000004,0.7,0.26,1.78,0.98,1.66,1.06,0.14,0.7
DataValue,0.7,0.06,1.7,0.7,0.38,0.22,0.42000000000000004,1.1400000000000001,0.14,0.30000000000000004
DataValue,0.1,2.7,0.5,1.34,1.66,1.66,0.98,0.8200000000000001,0.26,0.66
DataValue,1.34,0.38,0.02,0.9,0.42000000000000004,1.7,1.02,0.26,2.86,0.38
DataValue,1.1400000000000001,1.9,1.66,0.62,0.06,1.22,0.38,1.22,2.38,0.74
DataValue,0.98,1.46,0.14,0.02,0.45999999999999996,0.74,0.98,0.9,1.3,0.45999999999999996
DataValue,1.1400000000000001,1.46,1.1400000000000001,0.22,0.1,0.45999999999999996,0.42000000000000004,1.38,0.38,1.66
DataValue,1.5,2.14,1.26,1.5,0.7,1.18,0.86,0.62,2.02,0.74
DataValue,0.8200000000000001,0.18,0.14,1.22,0.33999999999999997,0.94,0.66,0.38,0.62,1.22
DataValue,1.46,1.62,2.22,1.1400000000000001,0.26,0.74,0.94,1.18,1.22,1.7
DataValue,0.94,0.33999999999999997,0.45999999999999996,1.42,0.22,0.30000000000000004,1.18,0.42000000000000004,0.14,0.62
DataValue,0.1,2.18,1.74,0.38,0.02,0.94,0.18,0.1,1.22,0.54
DataValue,2.34,2.34,0.74,0.38,0.1,0.18,0.33999999999999997,0.1,0.8200000000000001,1.78
