DataName,Pth,Pth,Pth,Pth,Pth,Pth,Pth,Pth,Pth,Pth
Units,W,W,W,W,W,W,W,W,W,W
Size,170nm,170nm,170nm,170nm,170nm,170nm,170nm,170nm,170nm,170nm
Device,1,2,3,4,5,6,7,8,9,10
DataValue,0.00015803100000000002,0.0001710333,0.00022721700000000002,0.00014807,0.00012674970000000002,0.000259259,0.000118185,0.000159545,0.00023709600000000004,0.00019093890000000002
DataValue,0.0001106242,0.000150894,0.0002001087,0.000123504,0.00011348250000000002,0.000271271,0.0001464976,0.00012699990000000002,0.000230421,0.000194905
DataValue,0.0001130259,0.0001413573,0.00019962149999999999,0.00012288149999999999,0.0001111875,0.00026890500000000006,0.0001226148,0.0001230876,0.00022401299999999998,0.000192559
DataValue,0.00011255139999999999,0.00016740749999999999,0.000203058,0.0001440495,0.0001253945,0.000265811,0.0001407859,0.0001438058,0.00021929600000000004,0.000187578
DataValue,0.0001129164,0.000159851,0.000197577,0.0001215286,0.00012386220000000001,0.000259259,0.0001408254,0.0001373235,0.00021805,0.0001556748
DataValue,0.0001100548,0.0001889379,0.000249289,0.000141083,0.0001273734,0.00025662000000000005,0.00013818680000000002,0.0001404111,0.000285831,0.0001955425
DataValue,0.00012987749999999998,0.00018424860000000002,0.000247954,0.000139009,0.00011060249999999999,0.000263536,0.0001579743,0.0001370579,0.00021751599999999998,0.0001571356
DataValue,0.00012897,0.00018108179999999998,0.00024528399999999996,0.00011971089999999999,0.0001286054,0.00025753,0.00015667020000000002,0.0001346841,0.000217872,0.0001555337
DataValue,0.0001058865,0.0001761228,0.00024110100000000002,0.000138805,0.00010988999999999999,0.000252525,0.0001555038,0.0001376721,0.000280826,0.0001557329
DataValue,0.0001279275,0.0001721034,0.00023531599999999998,0.000134725,0.000128205,0.00025261600000000005,0.00015641100000000002,0.0001290899,0.000214312,0.000188088
DataValue,0.00012687,0.0001718511,0.000234693,0.0001393235,0.000108045,0.000250159,0.00015228,0.0001294053,0.00028028,0.0001809565
DataValue,0.000126135,0.00016878,0.000235761,0.00012072350000000001,0.00011030250000000001,0.000244881,0.0001522719,0.0001310238,0.00028892500000000004,0.0001842035
DataValue,0.00010537550000000001,0.0001682319,0.000231934,0.0001200429,0.00010746749999999999,0.000243152,0.00015118650000000002,0.00012864999999999998,0.000274274,0.0001783385
DataValue,0.000120195,0.00020349850000000002,0.000234248,0.00012027529999999999,0.0001079175,0.00024215100000000002,0.00014974470000000002,0.00012575329999999998,0.000266357,0.0001813645
DataValue,0.0001196325,0.0001977313,0.000233625,0.0001188145,0.0001227303,0.000241878,0.00014684490000000001,0.00014631899999999998,0.000269633,0.0001799875
DataValue,0.0001170075,0.0001944828,0.000241635,0.00011927099999999999,0.0001231615,0.00024451700000000003,0.0001466343,0.0001280856,0.000266357,0.00017914599999999998
DataValue,0.00011805,0.00019122540000000003,0.000239855,0.00011946190000000001,0.0001214367,0.00024852100000000003,0.0001710962,0.00012445019999999998,0.00026653900000000004,0.00018132199999999998
DataValue,0.0001184475,0.00023751000000000002,0.0002403,0.00013812499999999998,0.00011731720000000002,0.000251797,0.00016781769999999998,0.0001478915,0.000267813,0.0001538239
DataValue,0.000114555,0.00024206000000000002,0.000235761,0.0001181837,0.0001182258,0.00024579100000000003,0.00016655609999999998,0.0001462595,0.000261898,0.000180251
DataValue,0.0001163925,0.000227864,0.000245907,0.000135167,0.0001190651,0.00024861200000000005,0.0001652613,0.0001507475,0.00025616500000000004,0.000176341
DataValue,0.00011619750000000001,0.000226408,0.00023949899999999998,0.00013105299999999998,0.0001156463,0.00024861200000000005,0.0001634851,0.00014783199999999998,0.000251888,0.000173825
DataValue,0.0001149825,0.000223496,0.00024110100000000002,0.0001321325,0.0001331703,0.000246155,0.000234726,0.00014506949999999998,0.000253344,0.000178415
DataValue,0.000114585,0.00022932,0.000238876,0.000130407,0.0001287305,0.00024770200000000003,0.000225591,0.0001250976,0.00025825800000000003,0.0001773185
DataValue,0.00011993250000000001,0.000225498,0.00023976599999999998,0.00012887699999999998,0.0001320801,0.000245973,0.00018325149999999998,0.0001454775,0.00025052300000000005,0.00017603499999999998
DataValue,0.00011666250000000001,0.000222404,0.000233892,0.00012938699999999999,0.0001272453,0.00024642800000000003,0.000216978,0.0001241597,0.000252525,0.000173502
DataValue,0.000119625,0.000221312,0.00023674000000000001,0.000127823,0.0001298602,0.000245973,0.00021497699999999998,0.0001439305,0.000251251,0.0001721505
DataValue,0.0001177875,0.000218855,0.00023709600000000004,0.0001282225,0.0001274981,0.00024360700000000001,0.000272607,0.000139536,0.00024788400000000003,0.0001775395
DataValue,0.0001177575,0.000221858,0.00023255700000000002,0.00012628449999999998,0.0001299155,0.000245609,0.00026717799999999997,0.0001425025,0.00024843,0.000171428
DataValue,0.00011543999999999999,0.00022049300000000002,0.00023300200000000003,0.0001259955,0.0001234296,0.000243334,0.000259524,0.00014546899999999999,0.000241878,0.0001714195
DataValue,0.00011575499999999999,0.00022167600000000002,0.00023460400000000002,0.00012705800000000002,0.00014076180000000002,0.00024397100000000003,0.000193069,0.0001229064,0.000246337,0.00017503200000000001
DataValue,0.00011331,0.000221312,0.00023540499999999997,0.000126089,0.0001408752,0.000243789,0.00024925500000000004,0.0001385585,0.00025762100000000003,0.00017232899999999998
DataValue,0.0001383228,0.00022022,0.000240923,0.000125256,0.00013775670000000002,0.000241059,0.0001875865,0.00014027550000000002,0.000242697,0.000173876
DataValue,0.00011665499999999999,0.00021749,0.000233892,0.0001439763,0.0001374732,0.00024215100000000002,0.000185725,0.0001365015,0.00024651900000000006,0.0001727625
DataValue,0.000115215,0.000212758,0.000238164,0.0001411662,0.000160107,0.000241787,0.00018411,0.0001364165,0.000245427,0.00016824899999999998
DataValue,0.00011265749999999998,0.00021521500000000002,0.000233714,0.000124066,0.00013621770000000002,0.000362514,0.000183158,0.000135439,0.00024351600000000002,0.0001701445
DataValue,0.0001338183,0.00028727699999999995,0.000229264,0.0001234625,0.0001358613,0.00024196900000000003,0.000181628,0.0001344275,0.00024388000000000003,0.0001691585
DataValue,0.00011568750000000001,0.00021476,0.00023282400000000002,0.0001414446,0.0001601817,0.000355632,0.000214107,0.0001364675,0.000247793,0.000169133
DataValue,0.0001324862,0.000213668,0.000232646,0.0001392609,0.0001605054,0.000347262,0.000178908,0.0001338155,0.00024406200000000002,0.000170986
DataValue,0.0001351966,0.00021203000000000001,0.00023869800000000002,0.0001372947,0.0001341522,0.000334428,0.0001790695,0.000133807,0.00024296999999999999,0.00016847
DataValue,0.0001377222,0.00021330400000000002,0.000235227,0.0001369293,0.00015647159999999997,0.00034596,0.00017629849999999998,0.00013309299999999998,0.000243425,0.0001700085
DataValue,0.00012961410000000002,0.000212667,0.00023665100000000002,0.00013469340000000002,0.0001513837,0.000340938,0.0001763665,0.0001551036,0.000243789,0.000174811
DataValue,0.00013385680000000002,0.00028569599999999994,0.00024083400000000002,0.00015674679999999998,0.0001562475,0.00034038,0.00017595,0.000155556,0.00024451700000000003,0.0001690905
DataValue,0.000133287,0.00027732599999999994,0.0001981077,0.0001557678,0.0001759415,0.000334707,0.0001767575,0.0001563477,0.00023605400000000003,0.0001672885
DataValue,0.0001327018,0.000270444,0.000238876,0.00015015190000000002,0.0001781515,0.00032912699999999997,0.0001741905,0.0001572003,0.000255619,0.00016869949999999997
